label,kind,level_bp,cr_bp
10y(5s15s20s),fly,2.9798855129163826,4.934513656796867
10y(5s15s30s),fly,27.460289264708877,3.2409238066463786
10y(5s20s30s),fly,3.419418505987892,6.591496114553024
10y(7s10s15s),fly,7.6717465415550805,0.7713636520938394
10y(7s10s20s),fly,19.692181920915573,-0.9039225018594834
10y(7s10s30s),fly,44.17258567270807,-2.5975123520099714
10y(7s15s20s),fly,1.0425713608249225,2.879865529008157
10y(7s15s30s),fly,25.522975112617416,1.186275678857669
10y(7s20s30s),fly,1.4821043538964318,4.5368479867643146
10y(10s15s20s),fly,2.695630099315167,0.21660786148049738
10y(10s15s30s),fly,27.17603385110766,-1.4769819886699906
10y(10s20s30s),fly,3.1351630923866765,1.873590319236655
10y(15s20s30s),fly,12.459968372432002,-0.01830369619716521
10y10y/20y10y,curve,-55.542378401846406,9.125863364208556
15y5y/20y5y,curve,-36.65212315749079,1.23174877985781
20y5y/25y5y,curve,-43.180137832340165,4.0149590431541355
5s30s,curve,41.05204587043045,3.055301163579884
2s10s,curve,24.31805883029108,3.0808542779100776
