label,kind,level_bp,cr_bp,n_obs,rlzd_vol_bp,level_hist_bp,zs,rac
2y(7s15s),curve_fwd_start,27.453721853844456,0.7303998924568305,500,1.1105896386091734,27.49560722474456,0.157298247763886,0.04142922534738204
2y(7s20s),curve_fwd_start,30.73636463171829,3.1517847197309266,500,1.4387448117082748,30.620213824226823,0.27872242721232415,0.13799790865590267
2y(7s30s),curve_fwd_start,23.109531372401932,5.5176752900396195,500,1.7819303198538692,23.22305666665909,0.4132445355846317,0.1950586217279701
2y(10s15s),curve_fwd_start,14.821399740117329,1.4407183698967856,500,0.5691710272554455,14.763252107712901,0.31222309032823153,0.15945422768575562
2y(10s20s),curve_fwd_start,18.10404251799116,3.8621031971708817,500,0.9170124629367328,17.887858707195164,0.4355793713470764,0.26530679036995364
2y(10s30s),curve_fwd_start,10.477209258674804,6.227993767479575,500,1.2572722654683028,10.490701549627431,0.5646966826480359,0.3120459594529931
2y(15s20s),curve_fwd_start,3.282642777873832,2.421384827274096,500,0.3732616446944535,3.124606599482263,0.6136097888545986,0.408648755817723
2y(15s30s),curve_fwd_start,-4.344190481442524,4.787275397582789,500,0.7179100385313528,-4.27255055808547,0.7271600606512113,0.4200665649090228
2y(20s30s),curve_fwd_start,-7.626833259316356,2.365890570308693,500,0.3948925971834715,-7.397157157567733,0.8174197050174342,0.3774117270460248
3y(1s2s),curve_fwd_start,3.7782176027732817,-2.031281063473898,500,0.5532200737306685,3.9568810692017564,-0.5581424821935698,-0.23129796897166022
3y(1s3s),curve_fwd_start,8.528334129557209,-3.7340747862002672,500,0.9116589251778167,8.99102244860768,-0.47433035023674647,-0.25801820720542445
3y(1s5s),curve_fwd_start,17.69459451208843,-4.624690539225298,500,1.4900099041947885,18.661717524506855,-0.35093617462169957,-0.19552092881709882
3y(1s7s),curve_fwd_start,26.71955314174238,-5.110216816591048,500,1.9198578939344284,27.91139417981259,-0.25287471714181314,-0.16767563996516077
3y(1s10s),curve_fwd_start,39.300789509904064,-5.059131071025604,500,2.320971969391993,40.57794096384754,-0.15727468477269316,-0.1373111376298178
3y(1s15s),curve_fwd_start,51.83066484866316,-2.767606669667373,500,2.7158579898609765,52.94874018251534,-0.02699605830104396,-0.06419438475200478
3y(1s20s),curve_fwd_start,52.766449168440545,-0.420748211570924,500,2.951515828201356,53.77402536091341,0.07887928697331624,-0.008980011476164671
3y(1s30s),curve_fwd_start,42.60844203730096,2.1104256602523037,500,3.1943644808010885,43.910639773102616,0.1971216881153909,0.04161839427407129
3y(2s3s),curve_fwd_start,4.750116526783927,-1.7027937227263692,500,0.5246971229609813,5.0341413794059235,-0.37991487899562104,-0.20443398165330795
3y(2s5s),curve_fwd_start,13.916376909315147,-2.5934094757514004,500,1.128615323112861,14.704836455305099,-0.26756275082898323,-0.1447521025286034
3y(2s7s),curve_fwd_start,22.9413355389691,-3.0789357531171504,500,1.570084874780879,23.954513110610833,-0.1717588392887241,-0.12353136105870302
3y(2s10s),curve_fwd_start,35.52257190713078,-3.027850007551706,500,1.9840086759731395,36.62105989464578,-0.08020647020494528,-0.09613698991629804
3y(2s15s),curve_fwd_start,48.05244724588988,-0.7363256061934749,500,2.3932350068245154,48.99185911331358,0.05110837406870787,-0.01938136169344744
3y(2s20s),curve_fwd_start,48.98823156566726,1.610532851902974,500,2.6377850257792455,49.81714429171166,0.15846951331329528,0.03846182780151111
3y(2s30s),curve_fwd_start,38.83022443452768,4.141706723726202,500,2.89145490853679,39.95375870390086,0.27680615970975153,0.09023242904291164
3y(3s5s),curve_fwd_start,9.16626038253122,-0.8906157530250312,500,0.6909406837504355,9.670695075899175,-0.20075689730604,-0.08119874871617969
3y(3s7s),curve_fwd_start,18.191219012185172,-1.3761420303907812,500,1.1732447039332312,18.92037173120491,-0.10302261396977228,-0.07388808085798103
3y(3s10s),curve_fwd_start,30.772455380346855,-1.3250562848253367,500,1.5960990679482576,31.58691851523986,-0.014098147541215267,-0.05229669119112271
3y(3s15s),curve_fwd_start,43.30233071910595,0.9664681165328943,500,2.0173159426448866,43.95771773390766,0.12078702798555845,0.0301795903344922
3y(3s20s),curve_fwd_start,44.238115038883336,3.313326574629343,500,2.2723474637181997,44.78300291230573,0.2310686513358169,0.09185213035437373
3y(3s30s),curve_fwd_start,34.08010790774375,5.844500446452571,500,2.5370263689401744,34.919617324494936,0.3504257995911825,0.14511828744928387
3y(5s7s),curve_fwd_start,9.024958629653952,-0.48552627736575005,500,0.49313950942875356,9.249676655305734,0.02251135109429994,-0.06202155781070796
3y(5s10s),curve_fwd_start,21.606194997815635,-0.4344405318003055,500,0.9365812847843347,21.916223439340683,0.09898495189892224,-0.029220294654503605
3y(5s15s),curve_fwd_start,34.13607033657473,1.8570838695579255,500,1.3812365684074885,34.28702265800848,0.2437429735065286,0.08469605450482612
3y(5s20s),curve_fwd_start,35.071854656352116,4.203942327654374,500,1.653608117689859,35.11230783640656,0.3605639342718554,0.1601488717746972
3y(5s30s),curve_fwd_start,24.91384752521253,6.735116199477602,500,1.9321098611667276,25.24892224859576,0.4811002210423233,0.2195902258765494
