windows,ewma_short_spans,ewma_long_spans,retrain_label,retrain_every,svm_c,svm_gamma,z_threshold,total_pnl,sharpe,max_drawdown,n_trades,win_rate,exposure_bars,error
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.1,0.1,1.25,-67314.80274570163,-0.38510541912727114,-117650.1773560645,19.0,0.5042735042735043,113,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.1,0.1,1.25,-103824.40409631793,-0.6658544992114022,-128128.59399994544,19.0,0.46,91,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.1,0.1,1.25,97613.22554778053,0.5899312683145471,-66898.0902704739,7.0,0.5576923076923077,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.1,0.1,1.25,-112215.47484356626,-0.6353267991202031,-149818.55345405944,19.0,0.5084745762711864,115,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.1,0.1,1.25,-125413.00481302693,-0.7693928418086512,-149454.7860636386,19.0,0.45454545454545453,90,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.1,0.1,1.25,170119.7257928723,1.0287592206518412,-66898.09027047391,7.0,0.5673076923076923,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.1,0.1,1.75,-8104.531071995221,-0.0647780354027002,-89433.71860034997,13.0,0.5,52,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.1,0.1,1.75,63783.35489658531,0.6131971981891875,-72248.32610340093,11.0,0.5789473684210527,33,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.1,0.1,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.1,0.1,1.75,-6261.791637874845,-0.05044710980071036,-67841.32342865449,13.0,0.5,48,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.1,0.1,1.75,-16560.29880928661,-0.1330854090997284,-89133.3055270808,11.0,0.5434782608695652,41,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.1,0.1,1.75,-19663.156459867172,-0.5123649933531481,-27350.364295680287,1.0,0.5,4,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.1,0.1,1.75,-21404.08356612529,-0.1642684724366488,-104170.17548512279,13.0,0.5,54,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.1,0.1,1.75,-20136.068332688617,-0.16698003676561857,-104170.17548512279,11.0,0.5531914893617021,42,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.1,0.1,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.1,0.1,2.25,-21337.975032187383,-0.24081258060617294,-66898.09027047388,9.0,0.5151515151515151,29,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.1,0.1,2.25,22020.58617969618,0.3275606070433253,-26725.364295680287,7.0,0.5882352941176471,14,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.1,0.1,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.1,0.1,2.25,-19529.256046516875,-0.24576693324855128,-66898.09027047388,7.0,0.56,22,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.1,0.1,2.25,-10683.282654050952,-0.11348599387797714,-46345.43904552996,9.0,0.5555555555555556,23,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.1,0.1,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.1,0.1,2.25,-52705.90707310219,-0.5193494908636082,-74872.65939662638,9.0,0.4864864864864865,33,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.1,0.1,2.25,10613.147561033242,0.12317814070241676,-45402.20588734935,11.0,0.5384615384615384,21,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.1,0.1,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.1,1.0,1.25,-50553.99797613137,-0.2899986844254285,-101494.40163746441,17.0,0.5043478260869565,112,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.1,1.0,1.25,-41772.541687106364,-0.24873694830193377,-120940.3559992197,29.0,0.5132743362831859,107,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.1,1.0,1.25,118669.98213689348,0.7174299268443237,-114889.795368213,1.0,0.5096153846153846,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.1,1.0,1.25,-70854.05086960795,-0.41604804864705036,-112698.63789075967,17.0,0.4722222222222222,101,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.1,1.0,1.25,-135492.27080380492,-0.8379011764101197,-150170.15122424383,13.0,0.45454545454545453,105,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.1,1.0,1.25,221656.11932790815,1.3451757273771239,-66898.09027047391,11.0,0.5769230769230769,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.1,1.0,1.25,-84986.44262711586,-0.51354060036486,-116400.17735606447,17.0,0.47706422018348627,103,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.1,1.0,1.25,-133496.1472447745,-0.7907386253798165,-157104.5723365772,15.0,0.4690265486725664,109,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.1,1.0,1.25,152151.86699732707,0.9184699859538535,-67841.32342865449,7.0,0.5673076923076923,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.1,1.0,1.75,-25342.876977177842,-0.23267141714811587,-67841.32342865449,7.0,0.48484848484848486,30,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.1,1.0,1.75,-31997.745039426325,-0.27817549201465064,-99283.63523065421,9.0,0.4864864864864865,34,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.1,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.1,1.0,1.75,-13923.07035229365,-0.12013217588642222,-67841.32342865448,7.0,0.4878048780487805,38,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.1,1.0,1.75,-60847.251197966776,-0.4672321360149317,-110524.62599490533,11.0,0.4909090909090909,50,
