windows,svr_c,svr_gamma,signal_threshold,retrain_every,total_pnl,sharpe,max_drawdown,n_trades,win_rate
fast,10.0,0.5,0.0005,24,-970731.2951268933,-0.24424785774144347,-5753092.722296404,121.0,0.5083836351441985
slow,10.0,0.5,0.0005,24,-5143776.727711147,-1.2010358321056238,-6670674.902298717,115.0,0.4855715871254162
matlab_hourly,10.0,0.5,0.0005,48,-3643377.9750862215,-0.8933326250970363,-4897408.841075881,75.0,0.4707044107965767
fast,10.0,0.5,0.0005,48,63405.846030368884,0.0154203888313464,-3981396.6893773274,63.0,0.4890377588306943
slow,10.0,0.5,0.0005,48,-6038753.628721146,-1.3505150214702404,-6800981.7861306695,71.0,0.4802139037433155
matlab_hourly,10.0,0.5,0.0005,96,-3670285.2392958896,-0.9918979814742407,-5517649.826946311,51.0,0.46550522648083625
fast,10.0,0.5,0.0005,96,27677.179327411497,0.006279160348058268,-4616880.052612895,47.0,0.49477160154100164
slow,10.0,0.5,0.0005,96,534875.9315095424,0.13653337521248057,-4589751.656683775,45.0,0.4917940011318619
matlab_hourly,10.0,1.0,0.0,24,-5223731.692396972,-0.970655436191617,-8821371.77374678,151.0,0.48980815347721823
fast,10.0,1.0,0.0,24,-3368980.548560572,-0.6269402066044846,-7943324.054720968,165.0,0.5026978417266187
slow,10.0,1.0,0.0,24,-12723646.153419117,-2.3671111423152307,-13229523.879242212,135.0,0.490260713215463
matlab_hourly,10.0,1.0,0.0,48,-4638992.527365776,-0.8628242330699992,-7757033.96896337,103.0,0.4949010197960408
fast,10.0,1.0,0.0,48,-5360677.364798874,-0.9993757697517536,-7650099.874969839,129.0,0.49385307346326834
slow,10.0,1.0,0.0,48,-11786564.458466047,-2.196554765701113,-12023118.657521239,95.0,0.48741007194244607
matlab_hourly,10.0,1.0,0.0,96,-5639863.658696072,-1.0511914772303739,-8319134.741967196,67.0,0.4845577211394303
fast,10.0,1.0,0.0,96,-1001243.174967557,-0.18672943485629426,-7397554.28402134,65.0,0.5016491754122938
slow,10.0,1.0,0.0,96,-8216099.446781669,-1.5319052010673742,-8452653.645836862,59.0,0.49025487256371814
matlab_hourly,10.0,1.0,0.0001,24,-4146565.1711841105,-0.8123907213856266,-7309894.559066124,151.0,0.4870645050017247
fast,10.0,1.0,0.0001,24,619464.3516246154,0.12208898816886386,-5360688.230954037,169.0,0.5026972353337829
slow,10.0,1.0,0.0001,24,-9468216.682728646,-1.8425965267006874,-10127933.105180679,141.0,0.49069148936170215
matlab_hourly,10.0,1.0,0.0001,48,-3983710.5949841347,-0.7660437162461559,-6801546.131443111,103.0,0.49137931034482757
fast,10.0,1.0,0.0001,48,-3009048.632989952,-0.5952935713650236,-7034425.113649871,119.0,0.4940898345153664
slow,10.0,1.0,0.0001,48,-10581098.145012898,-2.006078677165826,-10840447.754025977,93.0,0.4870717517776341
matlab_hourly,10.0,1.0,0.0001,96,-4604219.825292671,-0.8839416136212651,-7133829.263759527,67.0,0.4800977653631285
fast,10.0,1.0,0.0001,96,-1711335.0782737397,-0.33507005823600033,-6665387.834545332,73.0,0.49950347567030784
slow,10.0,1.0,0.0001,96,-7098840.090578367,-1.3586964025590276,-8117723.325823474,59.0,0.487170830519919
matlab_hourly,10.0,1.0,0.0005,24,-535057.8982292578,-0.13103735483964116,-5219756.394164978,121.0,0.4794099569760295
fast,10.0,1.0,0.0005,24,1539962.6600839836,0.3651625141424786,-3617409.9764022767,131.0,0.4974587039390089
slow,10.0,1.0,0.0005,24,-6553308.29099233,-1.6244971136570443,-8248834.299809186,119.0,0.4813348416289593
matlab_hourly,10.0,1.0,0.0005,48,812640.625402353,0.18973575696138373,-4100917.8034121627,71.0,0.4940159574468085
fast,10.0,1.0,0.0005,48,-417665.82682469505,-0.1116104474257856,-3617409.976402276,77.0,0.4884428223844282
slow,10.0,1.0,0.0005,48,-7910676.597138704,-1.7583631551860561,-8634627.97436861,67.0,0.482225656877898
matlab_hourly,10.0,1.0,0.0005,96,-1152501.114247586,-0.29470829733570886,-3526083.051259269,41.0,0.4915032679738562
fast,10.0,1.0,0.0005,96,-291108.6669510812,-0.06622079796804638,-4025006.3549975487,61.0,0.49669211195928753
slow,10.0,1.0,0.0005,96,-4682858.8718165,-1.1353973799456916,-6504292.209201041,51.0,0.4906928645294726
matlab_hourly,100.0,0.01,0.0,24,-3249415.443114916,-0.6041959702651978,-8388483.989496205,165.0,0.5041941282204914
fast,100.0,0.01,0.0,24,-3274757.6142446287,-0.608909896739703,-6848305.183866503,137.0,0.5070464767616192
slow,100.0,0.01,0.0,24,-2850602.3851558026,-0.5302511206120718,-6715211.879430799,165.0,0.5026962252846016
matlab_hourly,100.0,0.01,0.0,48,-6527861.464226011,-1.2153466540571927,-9668170.791893033,81.0,0.4929535232383808
fast,100.0,0.01,0.0,48,-5836917.97157317,-1.0875374607645538,-7651442.7885637665,85.0,0.5019490254872564
slow,100.0,0.01,0.0,48,469943.35784866096,0.08769902181115082,-4523156.846621387,73.0,0.5038992201559688
matlab_hourly,100.0,0.01,0.0,96,-3614239.948034452,-0.6741994476115849,-6389299.293076925,57.0,0.4947526236881559
fast,100.0,0.01,0.0,96,2862782.042588317,0.5338821754932707,-5170781.949081662,45.0,0.5037481259370314
slow,100.0,0.01,0.0,96,2136386.195066844,0.3984619072864241,-4338976.409221061,45.0,0.49685157421289355
matlab_hourly,100.0,0.01,0.0001,24,-4127800.047800781,-0.8219683764277524,-8106739.24494888,161.0,0.4951560818083961
fast,100.0,0.01,0.0001,24,-3908786.83506328,-0.8014909359096856,-6925980.209102559,155.0,0.5
slow,100.0,0.01,0.0001,24,-3118514.1815786753,-0.6064819071601456,-7391575.399647998,141.0,0.49777777777777776
matlab_hourly,100.0,0.01,0.0001,48,-6563804.627480163,-1.313576325820576,-10383888.731755825,79.0,0.48681235870384326
fast,100.0,0.01,0.0001,48,-8315671.747579127,-1.606390314408847,-10130196.564569721,101.0,0.49583066067992304
slow,100.0,0.01,0.0001,48,-71793.98312999515,-0.013916697035733384,-4344013.029735386,67.0,0.5001740341106857
matlab_hourly,100.0,0.01,0.0001,96,-2386785.6966212136,-0.471838914921258,-4529156.382371878,55.0,0.4898411525674178
fast,100.0,0.01,0.0001,96,774349.4456263523,0.14692051640223472,-5170781.949081659,55.0,0.5009287925696595
slow,100.0,0.01,0.0001,96,2277930.776891177,0.43733849592693286,-4008721.364285892,49.0,0.4935593220338983
matlab_hourly,100.0,0.01,0.0005,24,2284036.5788091742,0.5775051586484116,-2858096.6536251833,79.0,0.5025417574437182
fast,100.0,0.01,0.0005,24,-1090421.8834575547,-0.27733941570085874,-4342016.551848935,108.0,0.4958519463943842
slow,100.0,0.01,0.0005,24,2400452.7096711043,0.6073659765814815,-2960057.4956784155,95.0,0.5044416243654822
matlab_hourly,100.0,0.01,0.0005,48,600685.9471464598,0.13560248067118838,-2818343.2548484714,43.0,0.4973190348525469
fast,100.0,0.01,0.0005,48,-1625352.9606382407,-0.3798478609112815,-5201145.905758399,70.0,0.49162011173184356
slow,100.0,0.01,0.0005,48,1709999.5612318914,0.3869007749446468,-2615589.250505344,43.0,0.4983734547820429
matlab_hourly,100.0,0.01,0.0005,96,2478861.15795953,0.6587353117036372,-2615589.2505053445,23.0,0.5022143489813995
fast,100.0,0.01,0.0005,96,-2836928.479123884,-0.719035029767657,-5260319.977809012,54.0,0.4901234567901235
slow,100.0,0.01,0.0005,96,471544.0220781195,0.12330296596846596,-2615589.2505053435,21.0,0.48853211009174313
matlab_hourly,100.0,0.1,0.0,24,-6395172.785468871,-1.1903697629191343,-8732590.202853015,147.0,0.4989505247376312
fast,100.0,0.1,0.0,24,-2740265.521296825,-0.5098322999062037,-5808029.718912257,171.0,0.5
slow,100.0,0.1,0.0,24,-9262187.841260131,-1.7224291876328444,-11278824.82474636,179.0,0.4940047961630695
matlab_hourly,100.0,0.1,0.0,48,-7024851.787117789,-1.309463508498909,-7261405.9861729825,83.0,0.49235382308845577
fast,100.0,0.1,0.0,48,-3843868.4844396804,-0.716400461482569,-6299693.905082199,99.0,0.497000599880024
slow,100.0,0.1,0.0,48,-8724640.477078313,-1.6262349460843926,-9800429.109556345,87.0,0.4956521739130435
matlab_hourly,100.0,0.1,0.0,96,-161560.08383762743,-0.03011654679895313,-6909400.503811081,47.0,0.495952023988006
