clock,split,scope,bucket,n_obs,n_days,n_clusters,sum_beta_kneg,se_cluster_kneg,t_cluster_kneg,se_nw_kneg,t_nw_kneg,sum_beta_kpos,se_cluster_kpos,t_cluster_kpos,se_nw_kpos,t_nw_kpos,diff_pos_minus_neg,se_cluster_diff,t_cluster_diff,se_nw_diff,t_nw_diff,beta_k0,se_cluster_k0,t_cluster_k0,abs_ratio_pos_over_neg,post_print_share,centroid_absbeta_D2
diss,nonblock,bucket,TY_UXY,86340,67,67,-0.16998274651449224,0.04044661337684673,-4.202644729009554,,,-0.006973284043521252,0.021992396343235587,-0.3170770449335819,,,0.163009462470971,0.0555520112709924,2.934357528043088,,,-0.005461975365217389,0.004704755669704353,-1.160947719429736,0.041023481420961336,0.03940687424741437,-4.0314567354729505
diss,nonblock,bucket,US,86339,67,67,-0.13014702349728274,0.030643758909782312,-4.2470972272183065,,,0.06051317288500008,0.02797059632469915,2.1634566593621223,,,0.19066019638228282,0.03367372690001049,5.6619867752809805,,,-0.0010392716720731057,0.004548184632146138,-0.22850252488160488,0.46496009865537563,0.3173875514303377,-1.0107843286824532
diss,D2C,pooled,POOLED,402946,67,67,-0.09118303570280813,0.016868277031124545,-5.405592730932834,,,-0.005777529143168026,0.011429504630241333,-0.5054925239612973,,,0.08540550655964009,0.021270998661704798,4.0151150361078125,,,-0.0015559750679978595,0.00222688717325744,-0.6987220038282472,0.06336188632717454,0.059586380837877234,-6.0092620914221975
diss,D2C,bucket,SFR_FF,57600,44,44,-0.11848787946560436,0.038696374046590806,-3.061989201441557,,,-0.016642349997435947,0.04765619704349384,-0.34921691259265114,,,0.10184552946816842,0.07017161396814742,1.4513778964012223,,,-0.0029093544369328452,0.007275926926903815,-0.39986031555307094,0.14045613840415655,0.12315786085442726,0.9697791528194926
diss,D2C,bucket,TU,86331,67,67,-0.051666389880063134,0.021120957574784,-2.446214367749447,,,-0.005829024109377497,0.02921501647245094,-0.19952150685501502,,,0.04583736577068563,0.04192235016171341,1.093387312349385,,,-0.0015127646923735658,0.0036054433988783833,-0.4195779894490013,0.11282042586890288,0.10138241826466424,-1.5916351620949458
diss,D2C,bucket,FV,86336,67,67,-0.08079321272140863,0.028882387331859653,-2.7973176799096193,,,0.02620844592935757,0.020993719955461485,1.2483945668018441,,,0.10700165865076619,0.04043645547999726,2.646168102040912,,,0.005252395201684487,0.003542039388152304,1.4828731773150567,0.32438920357987994,0.24493495016649353,-1.5819647838571393
diss,D2C,bucket,TY_UXY,86340,67,67,-0.13143763662702773,0.02369056527423999,-5.548100482429048,,,-0.018302604779037696,0.02034682019551324,-0.8995314551938528,,,0.11313503184799004,0.03588641202296964,3.1525868837368374,,,-0.008516068954419517,0.006512992955308016,-1.3075507701077762,0.13924934477461612,0.12222903213709073,-3.161886346310553
diss,D2C,bucket,US,86339,67,67,-0.08692203509700319,0.029564613772197167,-2.9400700366579953,,,-0.014800626187288862,0.02666158074146934,-0.5551293575128504,,,0.07212140890971433,0.03450959889664982,2.0898941516447427,,,0.00044638544443285205,0.004953392846102361,0.09011710928280119,0.17027473149669897,0.14549979326557755,-1.7488687446797757
diss,IDB,pooled,POOLED,402946,67,67,-0.046234373629143274,0.009065807674535135,-5.099862614448638,,,0.004922578603522701,0.007423271232750439,0.6631279457774585,,,0.051156952232665975,0.01212843356109904,4.217935644776727,,,7.673737260399535e-05,0.0010861602500942087,0.07065013896185163,0.10647010475383219,0.0962250171029426,-3.117333656342446
diss,IDB,bucket,SFR_FF,57600,44,44,-0.07072697463533778,0.03496600813679489,-2.0227351763643693,,,0.003674398404964977,0.015282015993788069,0.24043937700749496,,,0.07440137304030277,0.04041044883783344,1.8411419615474804,,,0.0014397243001491992,0.0031910329052773634,0.45117814290418884,0.05195186735909263,0.04938616392166014,-2.79318517105804
diss,IDB,bucket,TU,86331,67,67,-0.002412900065262946,0.008118794685634916,-0.29719929603987144,,,-0.01513091726671253,0.008160194041389896,-1.8542349838699836,,,-0.01271801720144958,0.013268679967634539,-0.9584990543499312,,,-0.00017802519490250728,0.0018431542120242793,-0.09658724904357716,6.270842909966781,0.8624643645334144,1.8709090783182307
diss,IDB,bucket,FV,86336,67,67,-0.11165053295067268,0.015413103914355719,-7.243870771978751,,,0.025301373453059592,0.015515101770017187,1.6307578144253168,,,0.13695190640373228,0.025360465864699432,5.400212564484584,,,-0.0009740244116290656,0.002892557286232759,-0.33673470055890453,0.22661220492550416,0.1847464129376301,-3.2806536504502857
diss,IDB,bucket,TY_UXY,86340,67,67,-0.09577111081791952,0.0286861533450894,-3.338583241392104,,,-0.010498772840499198,0.014094761598971892,-0.7448705511461085,,,0.08527233797742031,0.03677092560279027,2.31901527034037,,,0.00306970214296248,0.003029124346596234,1.013395883338973,0.10962358847919718,0.09879349143022689,-2.255254653350277
diss,IDB,bucket,US,86339,67,67,-0.05547816856171698,0.02637664111291819,-2.10330679801933,,,0.05881114050248347,0.016070352185174695,3.659604956059285,,,0.11428930906420044,0.022786174825545583,5.015730368928386,,,8.969720792053644e-05,0.004936794534773662,0.018169119109318736,1.0600771803968025,0.5145812935962988,1.859586178930319
