clock,bucket,k,beta,se_cluster,se_nw
exec,TU,30,0.0003079741576175694,0.002837018536166299,0.0034802986420528546
exec,FV,-30,-0.0020359377257322276,0.004219125102146364,0.003448076918968009
exec,FV,-29,-0.002649620000656175,0.003143405668981842,0.002700915701450788
exec,FV,-28,0.0005577000099682472,0.0021349227673515105,0.0019871327136367018
exec,FV,-27,0.0013949581353833362,0.0018482193729946184,0.0023771895501363376
exec,FV,-26,-0.0033267897264332162,0.001918914557773542,0.0021868727645725796
exec,FV,-25,0.0036285683750271816,0.002058989907629768,0.002237973921733274
exec,FV,-24,0.0007163757953432056,0.002019417067595002,0.0020368482041180605
exec,FV,-23,4.485845885124602e-05,0.002512023552515221,0.002481709693305586
exec,FV,-22,-0.0006051134195482955,0.0034859807769505383,0.002784131472456125
exec,FV,-21,0.0005017232803292439,0.0020919971950790024,0.0022115301764024445
exec,FV,-20,-0.001862318166808832,0.0023491664143102256,0.0022561527457568287
exec,FV,-19,0.0037191213759169583,0.002310581501368873,0.002438776956316501
exec,FV,-18,-0.004053222281309455,0.002894754993621638,0.0027588559990151334
exec,FV,-17,-0.0006303657892671254,0.0023298729099487936,0.002326957539683919
exec,FV,-16,0.0026449936273728147,0.003707100944714745,0.0035383783242630734
exec,FV,-15,-0.0010929120111430458,0.0037723344889932712,0.0032194861448596236
exec,FV,-14,-0.0029360213480535374,0.0024378876506988565,0.0026998467281793624
exec,FV,-13,0.004301201174701641,0.002556956162203652,0.002414813544773987
exec,FV,-12,0.002218808745084615,0.003573969934805176,0.003246037844981667
exec,FV,-11,0.0006203009318028612,0.0020319320183417255,0.0020959787483270146
exec,FV,-10,0.0015609183140476769,0.0028188666859361045,0.0028222908332440197
exec,FV,-9,0.00042245274500366523,0.0021777780222148376,0.002443027754795105
exec,FV,-8,0.001959485295803214,0.0034434195509342974,0.0033976038598720025
exec,FV,-7,0.010495834918829747,0.0062118971812310155,0.006540166935520972
exec,FV,-6,0.0005891751636675386,0.0019734018105795085,0.0023869826634109526
exec,FV,-5,0.0002973059094967763,0.002573284132917929,0.0027699310095891634
exec,FV,-4,0.00020841127543255047,0.0035333158465519115,0.0031399704732653524
exec,FV,-3,0.0006691165249960915,0.002417629876137853,0.0029765792751309953
exec,FV,-2,0.004324550814978904,0.0026687533441022227,0.0033306692365490725
exec,FV,-1,0.0014583091532013703,0.002395183400657586,0.002828813671548063
exec,FV,0,0.0005738090321526795,0.0023380982060589397,0.002176553254505355
exec,FV,1,-0.0040392333091511775,0.0022844501890360927,0.002390396019889104
exec,FV,2,0.005384335303372307,0.0027878779001125273,0.002701557892975809
exec,FV,3,-0.0007220920277650856,0.0033500955940508324,0.0034725885994138367
exec,FV,4,0.0015044037172336766,0.001747176073568539,0.0021094362132455515
exec,FV,5,0.0029595813705473356,0.003282636423750452,0.00287943090976562
exec,FV,6,0.0007456095022156826,0.0017954997114386073,0.0018971128263606995
exec,FV,7,-0.003777579792736487,0.0023000527855912556,0.002431042246972045
exec,FV,8,-0.001297226287350432,0.0033780498320018816,0.0032405380812274473
exec,FV,9,0.0013922650277494177,0.002402492616136403,0.002537292382818657
exec,FV,10,-0.0004558065464821241,0.0029159902816164878,0.0030270303589283428
exec,FV,11,-0.004027187329265304,0.00379351008700142,0.005104987521982098
exec,FV,12,0.004439075048362865,0.002114583972221095,0.002507369607834629
exec,FV,13,-0.0007930217287297903,0.0030104245427405923,0.0029470914362360458
exec,FV,14,-0.003859352221798907,0.002050561378161946,0.00222201098043322
exec,FV,15,-0.0014503601237452848,0.002389366044292781,0.0026645074867123935
exec,FV,16,-0.002461646771063595,0.0019067070443793198,0.002332044752860041
exec,FV,17,-0.002257010485922583,0.0023167108903459997,0.0025254705353816792
exec,FV,18,0.0016385276435429892,0.002543661481247428,0.0026288375849078927
exec,FV,19,-0.002151643522036405,0.0020264624870719745,0.002379730391195612
exec,FV,20,0.0016315384155733681,0.008022486056068423,0.007184291971027459
exec,FV,21,-0.005657288511925732,0.008297220463094798,0.009624906869987007
exec,FV,22,0.0016575839325359513,0.002840399370674952,0.0027876628696826104
exec,FV,23,-0.00610530498244602,0.0040073524206900996,0.003705521848777282
exec,FV,24,0.0032033768858899673,0.004489176446060023,0.003828444708933973
exec,FV,25,6.442699401862901e-05,0.0025662616020177063,0.00237479958338395
exec,FV,26,0.0015125471586876192,0.003478678008646896,0.002742138769717116
