mode,pca_window_days,pca_input,zscore_lookback_days,min_zscore_belly,min_zscore_wing,max_adf_pvalue,max_half_life_days,n_trades,total_pnl,avg_pnl,median_pnl,win_rate,avg_days,sharpe,max_loss,mr_exits,sl_exits,mh_exits
forward_stanchart,260,levels,130,2.0,0.0,0.1,120.0,20,-67667210.53733131,-3383360.5268665655,-1830177.8834810345,0.3,1.0,-7.14496224764228,-20556972.99512325,10,10,0
forward_stanchart,260,levels,130,2.0,0.0,0.2,60.0,20,-67667210.53733131,-3383360.5268665655,-1830177.8834810345,0.3,1.0,-7.14496224764228,-20556972.99512325,10,10,0
forward_stanchart,260,levels,130,2.0,0.0,0.2,120.0,20,-67667210.53733131,-3383360.5268665655,-1830177.8834810345,0.3,1.0,-7.14496224764228,-20556972.99512325,10,10,0
forward_stanchart,260,levels,130,2.0,0.0,0.5,60.0,20,-67667210.53733131,-3383360.5268665655,-1830177.8834810345,0.3,1.0,-7.14496224764228,-20556972.99512325,10,10,0
forward_stanchart,260,levels,130,2.0,0.0,0.5,120.0,20,-67667210.53733131,-3383360.5268665655,-1830177.8834810345,0.3,1.0,-7.14496224764228,-20556972.99512325,10,10,0
forward_stanchart,260,levels,130,2.0,0.25,0.1,60.0,12,-32629011.586305473,-2719084.2988587893,-2141247.8021741533,0.5,1.0,-4.442785707869623,-20556972.99512325,8,4,0
forward_stanchart,260,levels,130,2.0,0.25,0.1,120.0,12,-32629011.586305473,-2719084.2988587893,-2141247.8021741533,0.5,1.0,-4.442785707869623,-20556972.99512325,8,4,0
forward_stanchart,260,levels,130,2.0,0.25,0.2,60.0,12,-32629011.586305473,-2719084.2988587893,-2141247.8021741533,0.5,1.0,-4.442785707869623,-20556972.99512325,8,4,0
forward_stanchart,260,levels,130,2.0,0.25,0.2,120.0,12,-32629011.586305473,-2719084.2988587893,-2141247.8021741533,0.5,1.0,-4.442785707869623,-20556972.99512325,8,4,0
forward_stanchart,260,levels,130,2.0,0.25,0.5,60.0,12,-32629011.586305473,-2719084.2988587893,-2141247.8021741533,0.5,1.0,-4.442785707869623,-20556972.99512325,8,4,0
forward_stanchart,260,levels,130,2.0,0.25,0.5,120.0,12,-32629011.586305473,-2719084.2988587893,-2141247.8021741533,0.5,1.0,-4.442785707869623,-20556972.99512325,8,4,0
forward_stanchart,260,levels,130,2.0,0.5,0.1,60.0,10,58029304.09811367,5802930.409811367,5299749.0864274055,1.0,1.0,20.51617900259838,693665.6374260307,8,2,0
forward_stanchart,260,levels,130,2.0,0.5,0.1,120.0,10,58029304.09811367,5802930.409811367,5299749.0864274055,1.0,1.0,20.51617900259838,693665.6374260307,8,2,0
forward_stanchart,260,levels,130,2.0,0.5,0.2,60.0,10,58029304.09811367,5802930.409811367,5299749.0864274055,1.0,1.0,20.51617900259838,693665.6374260307,8,2,0
forward_stanchart,260,levels,130,2.0,0.5,0.2,120.0,10,58029304.09811367,5802930.409811367,5299749.0864274055,1.0,1.0,20.51617900259838,693665.6374260307,8,2,0
forward_stanchart,260,levels,130,2.0,0.5,0.5,60.0,10,58029304.09811367,5802930.409811367,5299749.0864274055,1.0,1.0,20.51617900259838,693665.6374260307,8,2,0
forward_stanchart,260,levels,130,2.0,0.5,0.5,120.0,10,58029304.09811367,5802930.409811367,5299749.0864274055,1.0,1.0,20.51617900259838,693665.6374260307,8,2,0
forward_stanchart,260,changes,130,1.0,0.0,0.1,60.0,30,51284158.61377926,1709471.953792642,2118120.2985015777,0.7333333333333333,1.0,8.12536971785117,-8112819.419612373,15,15,0
forward_stanchart,260,changes,130,1.0,0.0,0.1,120.0,30,51284158.61377926,1709471.953792642,2118120.2985015777,0.7333333333333333,1.0,8.12536971785117,-8112819.419612373,15,15,0
forward_stanchart,260,changes,130,1.0,0.0,0.2,60.0,30,51284158.61377926,1709471.953792642,2118120.2985015777,0.7333333333333333,1.0,8.12536971785117,-8112819.419612373,15,15,0
forward_stanchart,260,changes,130,1.0,0.0,0.2,120.0,30,51284158.61377926,1709471.953792642,2118120.2985015777,0.7333333333333333,1.0,8.12536971785117,-8112819.419612373,15,15,0
forward_stanchart,260,changes,130,1.0,0.0,0.5,60.0,30,51284158.61377926,1709471.953792642,2118120.2985015777,0.7333333333333333,1.0,8.12536971785117,-8112819.419612373,15,15,0
forward_stanchart,260,changes,130,1.0,0.0,0.5,120.0,30,51284158.61377926,1709471.953792642,2118120.2985015777,0.7333333333333333,1.0,8.12536971785117,-8112819.419612373,15,15,0
forward_stanchart,260,changes,130,1.0,0.25,0.1,60.0,16,54199396.00745259,3387462.250465787,2976959.982844549,0.9375,1.0,29.329461707279894,-24234.904109834544,7,9,0
forward_stanchart,260,changes,130,1.0,0.25,0.1,120.0,16,54199396.00745259,3387462.250465787,2976959.982844549,0.9375,1.0,29.329461707279894,-24234.904109834544,7,9,0
forward_stanchart,260,changes,130,1.0,0.25,0.2,60.0,16,54199396.00745259,3387462.250465787,2976959.982844549,0.9375,1.0,29.329461707279894,-24234.904109834544,7,9,0
forward_stanchart,260,changes,130,1.0,0.25,0.2,120.0,16,54199396.00745259,3387462.250465787,2976959.982844549,0.9375,1.0,29.329461707279894,-24234.904109834544,7,9,0
forward_stanchart,260,changes,130,1.0,0.25,0.5,60.0,16,54199396.00745259,3387462.250465787,2976959.982844549,0.9375,1.0,29.329461707279894,-24234.904109834544,7,9,0
