spec,tenor,venue,k,n_days,usable_bucket_days,n_trades,nw_lag,rho_F,crit_beta,crit_edge,beta_bps_per_unit_F,beta_se,beta_t,beta_p_normal,beta_significant,beta_sign_expected,sign_ok,edge_bps_per_trade,edge_se,edge_t,edge_p_normal,edge_significant,edge_upper_sizecorr,mde_bps,hit_rate,mean_abs_F,sd_fwd_bps,kill_floor_bps,kill_ceiling_bps,mde_over_ceiling,verdict
primary,30Y,D2D,1,383,374,371,1,0.0411324504898061,2.546270022382896,2.5287080993405016,0.2738769417869546,0.16005625933123718,1.7111292175094819,0.08705726162291436,False,-1,False,-0.04316034856832252,0.05381553838097804,-0.8020053290701303,0.4225498756218092,False,0.09292343920602628,0.18137608757193804,0.46630727762803237,0.2241178713463414,1.1281415222051658,0.25,0.5551126344742201,0.32673745165921153,DEAD
primary,30Y,D2D,2,382,373,370,2,0.04101776706541434,2.5428483519105183,2.492875425618611,0.324298375199923,0.22230818852131584,1.458778362403092,0.14462611986503474,False,-1,False,-0.07522690231735642,0.07366681079647079,-1.0211776715188052,0.3071702691063331,False,0.10841528000086141,0.24564173449412605,0.4837837837837838,0.2245399164984976,1.5816671977077024,0.25,0.5551126344742201,0.4425079150410399,DEAD
primary,30Y,D2D,3,381,372,369,3,0.04076018005236744,2.5853874833684922,2.5273838777532256,0.4619546349512201,0.3256622508353481,1.4185083894933226,0.15604239107778728,False,-1,False,-0.16113581050056106,0.08711923182698254,-1.8496009104002926,0.06437109151284376,False,0.059047931461200326,0.2935051373199111,0.5013550135501355,0.22498054797232858,1.947402579475008,0.25,0.5551126344742201,0.5287307819932925,DEAD
primary,30Y,D2D,4,380,371,368,4,0.04011389617857348,2.6158958584388956,2.542113734679664,0.331293551098771,0.37095959109698085,0.8930718036406293,0.3718187215677961,False,-1,False,-0.11568805445795473,0.10876265087541062,-1.0636744647799847,0.28747619604831637,False,0.1607989741525958,0.3680239850069738,0.4673913043478261,0.22518341142500986,2.280435902193287,0.25,0.5551126344742201,0.6629717324945252,DEAD
primary,30Y,D2D,5,379,370,367,5,0.0393105412217693,2.5486941700362933,2.502352947358188,0.2611673960701082,0.35909593775103243,0.7272914244192319,0.46704745033848816,False,-1,False,-0.11821121091089067,0.11284175458588806,-1.0475839492633527,0.2948303356777973,False,0.16415868626217567,0.3773399138661735,0.4822888283378747,0.22539823962122338,2.5461880303422104,0.25,0.5551126344742201,0.6797537840650563,DEAD
primary,3Y,D2C,1,383,296,290,1,0.06670330236943116,2.512367234550866,2.5441948279601747,0.08699770752145833,0.052564479622514544,1.65506646591428,0.09791101624569515,False,-1,False,-0.059383093077560956,0.04621834038423038,-1.2848382824629152,0.1988488015832675,False,0.05820536948490085,0.15648679921033062,0.49310344827586206,0.7266166217336355,0.8203925682143303,0.125,0.990173818769578,0.15803972620159376,DEAD
primary,3Y,D2C,2,382,295,289,2,0.06317899659310619,2.5520205840861134,2.549528659075301,0.11442921470555524,0.07196271797828008,1.5901180211132726,0.11180820458305282,False,-1,False,-0.09905189461361578,0.06240143584447249,-1.5873335809209554,0.11243711349258315,False,0.06004235443931559,0.2116126224650774,0.47750865051903113,0.7269682363417104,1.091630777798584,0.125,0.990173818769578,0.21371260121584923,DEAD
primary,3Y,D2C,3,381,294,288,3,0.06894661478347966,2.6308588358100833,2.517445073178067,0.10091646646173275,0.08595675845507675,1.174037600713786,0.24037996518339452,False,-1,False,-0.07512395580609639,0.07576279677334184,-0.991567880352191,0.32140836413332335,False,0.1156047236611442,0.25449225794655456,0.4965277777777778,0.7260202093845636,1.297584435416867,0.125,0.990173818769578,0.25701776104603014,DEAD
primary,3Y,D2C,4,380,293,287,4,0.06936172629502176,2.618805806253619,2.567814981018271,0.08096801159345413,0.09823610957174249,0.8242184258561527,0.409815459253948,False,-1,False,-0.10427142684883357,0.086224630912215,-1.2092997760117055,0.22654769689029056,False,0.11713747214032318,0.2939773792218644,0.4843205574912892,0.725065575967785,1.4696535371238801,0.125,0.990173818769578,0.29689472055236743,DEAD
primary,3Y,D2C,5,379,292,287,5,0.0692987349353904,2.5870711480435635,2.550345193030599,0.11929924758216709,0.12735633968017773,0.9367358380568731,0.348894456683912,False,-1,False,-0.115406278949166,0.09261065258923062,-1.2461447546541335,0.2127112567354184,False,0.12078285370520514,0.314132224328512,0.47038327526132406,0.725065575967785,1.6211887844116777,0.125,0.990173818769578,0.31724957615912613,DEAD
primary,3Y,D2D,1,383,222,214,1,0.10219190504003697,2.512367234550866,2.5441948279601747,-0.031493844781613725,0.061303370784536855,-0.5137375706844121,0.6074354806085702,False,-1,True,0.04060057167694948,0.05402436207242802,0.7515233890687709,0.45233773010451117,False,0.17804907424546867,0.18291655281890584,0.5514018691588785,0.7840487091722667,0.8203925682143303,0.125,0.6376377281806362,0.2868659502642972,AMBIGUOUS
primary,3Y,D2D,2,382,221,213,2,0.10250830766088327,2.5520205840861134,2.549528659075301,-0.07487880219395941,0.07724918485315624,-0.9693151110435313,0.3323879920578927,False,-1,True,0.13475310186824888,0.07165891993393173,1.8804791084276582,0.06004281100942268,False,0.3174495719181902,0.24300613864123963,0.5305164319248826,0.7830348533467844,1.091630777798584,0.125,0.6376377281806362,0.38110376456958717,AMBIGUOUS
primary,3Y,D2D,3,381,221,213,3,0.10250825736200307,2.6308588358100833,2.517445073178067,-1.0735757858510105e-05,0.09335748378074141,-0.0001149962212319691,0.9999082462907306,False,-1,True,0.09901415238358045,0.08075756075178336,1.2260666550827433,0.22017359276444626,False,0.3023168758200359,0.271270001336711,0.5164319248826291,0.7830348533467844,1.297584435416867,0.125,0.6376377281806362,0.4254296591118005,AMBIGUOUS
primary,3Y,D2D,4,380,221,213,4,0.1025082067976874,2.618805806253619,2.567814981018271,0.008792847979979918,0.114724185526315,0.07664336808878933,0.9389072576517785,False,-1,False,0.053981686981631,0.09000461229377285,0.5997657853959316,0.5486623386038154,False,0.2850968787903222,0.30686498463462814,0.5117370892018779,0.7830348533467844,1.4696535371238801,0.125,0.6376377281806362,0.4812528667495917,AMBIGUOUS
