curve_name,point,n_days,mean_bp,sd_bp,min_bp,max_bp,bias_to_noise
NOK-NOWA-1D,1Yx1Y,44,-0.2507137985627486,0.6675297913467679,-1.9233054893428303,1.0523253149080425,0.3755844335530307
NOK-NOWA-1D,1Yx10Y,44,-0.028850499169206435,0.07749364248712994,-0.21599541985497517,0.12390445095307179,0.37229504567420346
DKK-TNDKK-1D,1Yx10Y,44,0.358661247737417,0.9731754175260509,-2.5124999029261907,1.43656108729866,0.368547377254128
DKK-TNDKK-1D,1Yx1Y,44,3.1592275975002297,8.608287015412534,-22.2596760818651,12.806492880445175,0.3669984041939882
SGD-SORA-1D,1Yx1Y,44,0.017816672729054576,0.0498436547502232,-0.001603300841868105,0.2977028150273453,0.3574511704315742
NOK-NOWA-1D,5Yx10Y,44,0.0002767001084823629,0.0008232811754966391,-0.001715132956814358,0.0015587929339311302,0.33609429769294236
JPY-TONAR-1D,1Yx1Y,43,-0.3123852991631171,0.9929654752205578,-4.123878428521421,1.4007253862132085,0.3145983490450461
MXN-FONDEO-1D,1Yx1Y,44,-0.10144057200181371,0.3265166325982712,-0.44613917091664845,0.6020401127827313,0.31067505258337275
CAD-CORRA-1D,10Yx10Y,44,-0.0059372878156382924,0.02056286693112123,-0.05191063329883505,0.022776274614688674,0.28873832795427956
JPY-TONAR-1D,5Yx10Y,43,-0.00039328207285533673,0.0014356506141734845,-0.005687783877394992,0.00182020390013804,0.2739399607207025
JPY-TONAR-1D,1Yx10Y,43,-0.031391524434647385,0.11536785118494074,-0.4753021748152175,0.16040107525410185,0.27209941168380714
GBP-SONIA-1D,1Yx10Y,44,0.004361492965945033,0.016978220592233882,-0.03635826404151388,0.0727747645596466,0.25688751905721213
EUR-ESTR-1D,5Yx10Y,44,0.00017531337397448286,0.0007067557335878642,-0.0011504054172384315,0.001323239273487431,0.2480536989555074
AUD-AONIA-1D,10Yx10Y,44,-0.002726738155887289,0.011671552450806718,-0.02246256551821091,0.01720088205798831,0.23362257654925941
ILS-SHIR-1D,5Yx10Y,44,-0.0028414971570376517,0.012290174783591021,-0.03846114892041008,0.015137822806376988,0.23120071171253148
CHF-SARON-1D,10Yx10Y,44,-0.0005052446128230657,0.00226903048444127,-0.006932033736051224,0.0011513077021074736,0.22266982144467662
DKK-TNDKK-1D,10Yx10Y,44,-0.001278248298714429,0.006018120540320285,-0.022867294324946386,0.004134974591352147,0.212399916244682
EUR-ESTR-1D,5Yx5Y,44,0.00019348314424062383,0.0009261885223809721,-0.0014241503741185824,0.002006665183840184,0.20890255014522602
USD-SOFR-1D,1Yx1Y,44,-0.21414619602446827,1.1089407406063168,-5.666827932869145,1.8913631154911847,0.1931087822667451
USD-SOFR-1D,1Yx10Y,44,-0.024229708260874047,0.1331140944429755,-0.6751902468780102,0.22780573756682188,0.18202210939618993
