TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Swap,Fixed_Fixed,UPI,QZPWFCL21LHB,New,,2023-11-16 08:53:39,SRDDSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd ZAR,N/A,ZAR,Amortizing,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZLT5V9VC3PV,New,,2023-11-28 13:46:43,SRDISC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd CAD,,CAD,Accreting,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ6GP7DV4FGN,New,,2023-12-04 16:55:49,SRDDSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd AED,N/A,AED,Amortizing,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZFB5BVR5RKJ,New,,2023-12-18 10:27:42,SRDISC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd NOK,N/A,NOK,Accreting,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZKPLKHJJ38Q,New,,2024-01-16 02:18:56,SRDDSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd MXV,,MXV,Amortizing,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZGXB8RW6XD5,New,,2024-01-16 03:52:41,SRDDSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd TRY,,TRY,Amortizing,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ7SZCRVL9P1,New,,2024-01-16 03:56:07,SRDYSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd TRY,,TRY,Custom,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZX4H8W0RX0B,New,,2024-01-16 13:54:45,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd GEL,,GEL,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZKJ59TS58XS,New,,2024-01-26 03:36:43,SRDISP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd SAR,N/A,SAR,Accreting,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ1HCMMWQWF3,New,,2024-02-02 03:44:42,SRDDSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd HUF,N/A,HUF,Amortizing,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZH3QZD8833J,New,,2024-02-02 03:45:18,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd QAR,N/A,QAR,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZJ53WRZT38C,New,,2024-03-15 19:46:38,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd COU,N/A,COU,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZDNXK17K79K,New,,2024-04-03 00:54:42,SRDDSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd KZT,,KZT,Amortizing,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZJP2NG5HGSV,New,,2024-04-17 07:02:40,SRDISC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd MYR,N/A,MYR,Accreting,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
