TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_DeliveryType,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_SettlementCurrency,Attributes_DeliveryType,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,NDF,UPI,QZC3R5K7RMQX,New,,2023-12-13 03:12:23,JFTXFC,NA/Fwd NDF XAG XAU,XAG XAU,Spot,Forward price of underlying instrument,CASH,Cash,XAG,XAU,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ0PPCBBRV4G,New,,2023-12-13 03:12:58,JFTXFC,NA/Fwd NDF LSL USD,LSL USD,Spot,Forward price of underlying instrument,CASH,Cash,LSL,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ9KG2RKRPFQ,New,,2023-12-13 03:12:58,JFTXFC,NA/Fwd NDF EGP EUR,EGP EUR,Spot,Forward price of underlying instrument,CASH,Cash,EGP,EUR,GBP,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZD9R52FKPQ1,New,,2023-12-13 03:14:03,JFTXFC,NA/Fwd NDF CNY HUF,CNY HUF,Spot,Forward price of underlying instrument,CASH,Cash,CNY,HUF,CNY,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZL3L99S957B,New,,2023-12-13 03:14:27,JFTXFC,NA/Fwd NDF CHF SEK,CHF SEK,Spot,Forward price of underlying instrument,CASH,Cash,CHF,SEK,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ588PW8ZXML,New,,2023-12-13 03:14:42,JFTXFC,NA/Fwd NDF KRW USD,KRW USD,Spot,Forward price of underlying instrument,CASH,Cash,KRW,USD,VES,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZG59612LH7S,New,,2023-12-13 03:14:42,JFTXFC,NA/Fwd NDF KRW VES,KRW VES,Spot,Forward price of underlying instrument,CASH,Cash,KRW,VES,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZVVD46WZ9L2,New,,2023-12-13 03:14:42,JFTXFC,NA/Fwd NDF USD VES,USD VES,Spot,Forward price of underlying instrument,CASH,Cash,USD,VES,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZN4STP1QQNB,New,,2023-12-13 03:15:05,JFTXFC,NA/Fwd NDF KGS KZT,KGS KZT,Spot,Forward price of underlying instrument,CASH,Cash,KGS,KZT,KZT,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ7Z1PDDH184,New,,2023-12-13 03:15:12,JFTXFC,NA/Fwd NDF JPY PHP,JPY PHP,Spot,Forward price of underlying instrument,CASH,Cash,JPY,PHP,XXX,,,,,,,,,
