bank,Date,TimestampNYC,ts_local,local_hour,Title,Impact,Currency,EventId
FED,2021-06-28,2021-06-28 13:10:00-04:00,2021-06-28 13:10:00-04:00,13,FOMC Member Quarles Speaks,low,USD,121854
FED,2021-06-29,2021-06-29 09:00:00-04:00,2021-06-29 09:00:00-04:00,9,FOMC Member Barkin Speaks,low,USD,121847
FED,2021-06-30,2021-06-30 08:00:00-04:00,2021-06-30 08:00:00-04:00,8,FOMC Member Bostic Speaks,low,USD,121859
FED,2021-06-30,2021-06-30 13:00:00-04:00,2021-06-30 13:00:00-04:00,13,FOMC Member Barkin Speaks,low,USD,121860
FED,2021-07-07,2021-07-07 15:30:00-04:00,2021-07-07 15:30:00-04:00,15,FOMC Member Bostic Speaks,low,USD,121869
FED,2021-07-11,2021-07-11 09:20:00-04:00,2021-07-11 09:20:00-04:00,9,FOMC Member Quarles Speaks,low,USD,121872
FED,2021-07-12,2021-07-12 09:30:00-04:00,2021-07-12 09:30:00-04:00,9,FOMC Member Williams Speaks,low,USD,121879
FED,2021-07-13,2021-07-13 12:00:00-04:00,2021-07-13 12:00:00-04:00,12,FOMC Member Bostic Speaks,low,USD,121880
FED,2021-07-13,2021-07-13 14:30:00-04:00,2021-07-13 14:30:00-04:00,14,FOMC Member Bostic Speaks,low,USD,121881
FED,2021-07-14,2021-07-14 12:00:00-04:00,2021-07-14 12:00:00-04:00,12,Fed Chairman Powell Testifies,high,USD,121874
FED,2021-07-15,2021-07-15 09:30:00-04:00,2021-07-15 09:30:00-04:00,9,Fed Chairman Powell Testifies,high,USD,121875
FED,2021-07-15,2021-07-15 11:00:00-04:00,2021-07-15 11:00:00-04:00,11,FOMC Member Evans Speaks,low,USD,121878
FED,2021-07-31,2021-07-30 20:30:00-04:00,2021-07-30 20:30:00-04:00,20,FOMC Member Brainard Speaks,low,USD,121893
FED,2021-08-03,2021-08-03 14:00:00-04:00,2021-08-03 14:00:00-04:00,14,FOMC Member Bowman Speaks,low,USD,121914
FED,2021-08-04,2021-08-04 10:00:00-04:00,2021-08-04 10:00:00-04:00,10,FOMC Member Clarida Speaks,low,USD,121915
FED,2021-08-05,2021-08-05 10:00:00-04:00,2021-08-05 10:00:00-04:00,10,FOMC Member Waller Speaks,medium,USD,121916
FED,2021-08-09,2021-08-09 10:00:00-04:00,2021-08-09 10:00:00-04:00,10,FOMC Member Bostic Speaks,medium,USD,121919
FED,2021-08-09,2021-08-09 12:00:00-04:00,2021-08-09 12:00:00-04:00,12,FOMC Member Barkin Speaks,medium,USD,121920
FED,2021-08-11,2021-08-11 10:30:00-04:00,2021-08-11 10:30:00-04:00,10,FOMC Member Bostic Speaks,medium,USD,121921
FED,2021-08-17,2021-08-17 13:30:00-04:00,2021-08-17 13:30:00-04:00,13,FOMC Member Powell Speaks,high,USD,121922
FED,2021-08-27,2021-08-27 10:00:00-04:00,2021-08-27 10:00:00-04:00,10,FOMC Member Powell Speaks,high,USD,121926
FED,2021-09-01,2021-09-01 12:00:00-04:00,2021-09-01 12:00:00-04:00,12,FOMC Member Bostic Speaks,medium,USD,121929
FED,2021-09-02,2021-09-02 13:00:00-04:00,2021-09-02 13:00:00-04:00,13,FOMC Member Bostic Speaks,medium,USD,121930
FED,2021-09-02,2021-09-02 15:00:00-04:00,2021-09-02 15:00:00-04:00,15,FOMC Member Daly Speaks,medium,USD,121933
FED,2021-09-08,2021-09-08 13:10:00-04:00,2021-09-08 13:10:00-04:00,13,FOMC Member Williams Speaks,medium,USD,121936
FED,2021-09-09,2021-09-09 11:05:00-04:00,2021-09-09 11:05:00-04:00,11,FOMC Member Daly Speaks,low,USD,121938
FED,2021-09-09,2021-09-09 11:05:00-04:00,2021-09-09 11:05:00-04:00,11,FOMC Member Evans Speaks,low,USD,121947
FED,2021-09-09,2021-09-09 13:00:00-04:00,2021-09-09 13:00:00-04:00,13,FOMC Member Bowman Speaks,low,USD,121945
