config,instrument,release_set,measure_min,hold_min,min_move_bp,trades,total_bp,avg_bp,hit_rate,sharpe,sr_per_trade,t_stat,max_dd_bp,trades_per_year,span_days
TY|tier1+2|m2|h240|mv0,TY,tier1+2,2,240,0.0,693,-2.8124630206975922,-0.004058388197254823,0.47474747474747475,-0.00955596803779232,-0.0010005573975372206,-0.026339566592792556,-122.6331330001619,91.2148109776011,2774.96875
TY|tier1+2|m2|h240|mv2,TY,tier1+2,2,240,2.0,6,1.7506133039906961,0.29176888399844936,0.5,0.042968270243030654,0.03950060352232323,0.0967563231616758,-11.834368874656441,1.183282057627519,1852.0520833333333
TY|tier1+2|m5|h15|mv0,TY,tier1+2,5,15,0.0,1073,2.490302264579695,0.0023208781589745524,0.40726933830382106,0.03423874940205546,0.002879013039110638,0.09430690511920649,-27.697635495831964,141.43227363459002,2771.03125
TY|tier1+2|m5|h15|mv2,TY,tier1+2,5,15,2.0,22,0.9723562317029928,0.04419801053195422,0.4090909090909091,0.05649594358230115,0.027275028312540653,0.12793122264677093,-6.292387064851606,4.290462524194086,1872.875
TY|tier1+2|m5|h30|mv0,TY,tier1+2,5,30,0.0,1038,-8.629850168323152,-0.008313921164087815,0.4460500963391137,-0.06455405347175426,-0.005518873509766761,-0.17780710750654452,-59.815127076704876,136.81891894939835,2771.03125
TY|tier1+2|m5|h30|mv2,TY,tier1+2,5,30,2.0,22,3.3769533437257007,0.15349787926025912,0.5909090909090909,0.13082383376328058,0.06315893750230998,0.29624167583453775,-6.694927483918832,4.290462524194086,1872.875
TY|tier1+2|m5|h60|mv0,TY,tier1+2,5,60,0.0,1008,-70.24293244299082,-0.06968544885217344,0.4384920634920635,-0.38058087830661075,-0.03301735638321159,-1.0482685672652268,-100.28103501471202,132.8646149335198,2771.03125
TY|tier1+2|m5|h60|mv2,TY,tier1+2,5,60,2.0,22,-5.818803046002905,-0.2644910475455866,0.45454545454545453,-0.15423730368028443,-0.07446245797455073,-0.34925988639902256,-14.5240666027141,4.290462524194086,1872.875
TY|tier1+2|m5|h120|mv0,TY,tier1+2,5,120,0.0,841,-7.170241859187904,-0.00852585238904626,0.47205707491082044,-0.02843848823694615,-0.0027010236911543207,-0.0783296870434753,-88.09192431621295,110.85523961325052,2770.9583333333335
TY|tier1+2|m5|h120|mv2,TY,tier1+2,5,120,2.0,21,19.161122478711764,0.9124344037481793,0.5714285714285714,0.39107257313803345,0.1932444347406032,0.8855572498277682,-13.856106747858274,4.095441500367083,1872.875
TY|tier1+2|m5|h240|mv0,TY,tier1+2,5,240,0.0,798,-115.400699810089,-0.14461240577705387,0.4674185463659148,-0.3774903641941783,-0.03680648207624781,-1.0397424027217812,-180.4027833118841,105.18725471031381,2770.9583333333335
TY|tier1+2|m5|h240|mv2,TY,tier1+2,5,240,2.0,21,25.230920011572614,1.2014723815034578,0.47619047619047616,0.47163466074836785,0.23305335040262554,1.0679846191830984,-14.357452620630475,4.095441500367083,1872.875
TY|0830|m1|h15|mv0,TY,0830,1,15,0.0,305,8.888533745971705,0.029142733593349852,0.4557377049180328,0.1730911696133539,0.027303808515353665,0.4768405159276477,-13.048203266934248,40.188645211718544,2771.9583333333335
TY|0830|m1|h15|mv2,TY,0830,1,15,2.0,3,0.3984231785412849,0.1328077261804283,0.3333333333333333,0.1330412131512707,0.1256870788147574,0.21769640636207366,-0.26530017786662513,1.1204465084572452,977.9583333333334
TY|0830|m1|h30|mv0,TY,0830,1,30,0.0,305,-1.4204460191038848,-0.004657200062635688,0.47540983606557374,-0.02046192794509466,-0.0032277126771736026,-0.056369578529097505,-23.43062375541194,40.188645211718544,2771.9583333333335
TY|0830|m1|h30|mv2,TY,0830,1,30,2.0,3,3.7225724561456737,1.2408574853818912,0.6666666666666666,0.9803777162903307,0.9261852652794887,1.6041999366857334,0.0,1.1204465084572452,977.9583333333334
TY|0830|m1|h60|mv0,TY,0830,1,60,0.0,305,22.791344103535362,0.07472571837224709,0.5147540983606558,0.24566012060415962,0.03875100565683152,0.6767572194087148,-31.06327238623805,40.188645211718544,2771.9583333333335
TY|0830|m1|h60|mv2,TY,0830,1,60,2.0,3,5.899562343838095,1.966520781279365,1.0,1.1818763190056343,1.1165456067155362,1.9339137197991263,0.0,1.1204465084572452,977.9583333333334
