config,panel,trades,total_bp,avg_bp,hit_rate,sr_per_trade,t_stat,max_dd_bp,span_days,trades_per_year
grid|SR3 r4|tier1|m5|h240|fade,grid,323,-16.499999999990678,-0.05108359133124049,0.43343653250773995,-0.010936769632573468,-0.196557819454485,-72.99999999999613,2774.8958333333335,42.51537970644544
grid|SR3 r4|tier1|m5|h240|momentum,grid,323,16.499999999990678,0.05108359133124049,0.4458204334365325,0.010936769632573468,0.196557819454485,-72.50000000001506,2774.8958333333335,42.51537970644544
grid|SR3 r4|tier1+2|m1|h15|fade,grid,441,-3.0000000000001137,-0.006802721088435632,0.3900226757369615,-0.0058972986635156205,-0.12384327193382803,-29.50000000000017,2770.9583333333335,58.12979865569974
grid|SR3 r4|tier1+2|m1|h15|momentum,grid,441,3.0000000000001137,0.006802721088435632,0.34467120181405897,0.0058972986635156205,0.12384327193382803,-24.999999999995737,2770.9583333333335,58.12979865569974
grid|SR3 r4|tier1+2|m1|h30|fade,grid,421,84.99999999999517,0.20190023752967973,0.44655581947743467,0.10163794327037569,2.0854362389317296,-15.999999999998238,2770.9583333333335,55.4935266078222
grid|SR3 r4|tier1+2|m1|h30|momentum,grid,421,-84.99999999999517,-0.20190023752967973,0.35391923990498814,-0.10163794327037569,-2.0854362389317296,-89.9999999999963,2770.9583333333335,55.4935266078222
grid|SR3 r4|tier1+2|m1|h60|fade,grid,410,88.99999999997164,0.21707317073163812,0.4317073170731707,0.0787878678518605,1.5953327331510865,-35.000000000002274,2770.9583333333335,54.04357698148955
grid|SR3 r4|tier1+2|m1|h60|momentum,grid,410,-88.99999999997164,-0.21707317073163812,0.4073170731707317,-0.0787878678518605,-1.5953327331510865,-116.99999999997885,2770.9583333333335,54.04357698148955
grid|SR3 r4|tier1+2|m1|h120|fade,grid,333,144.0000000000012,0.432432432432436,0.4744744744744745,0.11203974471218314,2.0445334831183373,-55.500000000003524,2764.9583333333335,43.98918006600461
grid|SR3 r4|tier1+2|m1|h120|momentum,grid,333,-144.0000000000012,-0.432432432432436,0.3993993993993994,-0.11203974471218314,-2.0445334831183373,-197.49999999999517,2764.9583333333335,43.98918006600461
grid|SR3 r4|tier1+2|m1|h240|fade,grid,317,42.99999999998079,0.13564668769710028,0.47318611987381703,0.026616815505418567,0.47389892703496217,-68.4999999999988,2764.9583333333335,41.875585828598986
grid|SR3 r4|tier1+2|m1|h240|momentum,grid,317,-42.99999999998079,-0.13564668769710028,0.4195583596214511,-0.026616815505418567,-0.47389892703496217,-113.49999999998062,2764.9583333333335,41.875585828598986
grid|SR3 r4|tier1+2|m5|h15|fade,grid,720,35.000000000017906,0.04861111111113598,0.3638888888888889,0.049719558091206685,1.3341157404382542,-23.499999999991417,2774.96875,94.76863478192323
grid|SR3 r4|tier1+2|m5|h15|momentum,grid,720,-35.000000000017906,-0.04861111111113598,0.30694444444444446,-0.049719558091206685,-1.3341157404382542,-57.00000000000642,2774.96875,94.76863478192323
grid|SR3 r4|tier1+2|m5|h30|fade,grid,691,40.00000000000341,0.05788712011577918,0.38929088277858176,0.031812175539268656,0.8362428045526006,-23.999999999996646,2774.96875,90.95156476987354
grid|SR3 r4|tier1+2|m5|h30|momentum,grid,691,-40.00000000000341,-0.05788712011577918,0.35745296671490595,-0.031812175539268656,-0.8362428045526006,-51.50000000000432,2774.96875,90.95156476987354
grid|SR3 r4|tier1+2|m5|h60|fade,grid,679,22.500000000006537,0.03313696612666647,0.4108983799705449,0.013323341168554086,0.3471746737707321,-53.5000000000025,2774.96875,89.37208752350816
grid|SR3 r4|tier1+2|m5|h60|momentum,grid,679,-22.500000000006537,-0.03313696612666647,0.390279823269514,-0.013323341168554086,-0.3471746737707321,-63.500000000004775,2774.96875,89.37208752350816
grid|SR3 r4|tier1+2|m5|h120|fade,grid,559,49.50000000003456,0.08855098389988293,0.43828264758497315,0.02491619086228399,0.5890980062781932,-95.999999999988,2774.96875,73.57731505985429
grid|SR3 r4|tier1+2|m5|h120|momentum,grid,559,-49.50000000003456,-0.08855098389988293,0.4329159212880143,-0.02491619086228399,-0.5890980062781932,-128.50000000001387,2774.96875,73.57731505985429
grid|SR3 r4|tier1+2|m5|h240|fade,grid,534,-12.499999999984368,-0.02340823970034526,0.4550561797752809,-0.005170616903474254,-0.1194848905626633,-121.49999999998471,2774.96875,70.28673746325973
grid|SR3 r4|tier1+2|m5|h240|momentum,grid,534,12.499999999984368,0.02340823970034526,0.4288389513108614,0.005170616903474254,0.1194848905626633,-72.49999999999943,2774.96875,70.28673746325973
grid|SR3 r4|08:30 block|m1|h15|fade,grid,136,-2.0000000000067075,-0.014705882352990496,0.4338235294117647,-0.010905817852312264,-0.1271825985415558,-23.00000000000182,2764.9583333333335,17.965551017947828
grid|SR3 r4|08:30 block|m1|h15|momentum,grid,136,2.0000000000067075,0.014705882352990496,0.3382352941176471,0.010905817852312264,0.1271825985415558,-13.499999999996248,2764.9583333333335,17.965551017947828
grid|SR3 r4|08:30 block|m1|h30|fade,grid,137,15.499999999993008,0.11313868613133583,0.40875912408759124,0.07530329485473083,0.8814024685630616,-11.499999999999488,2764.9583333333335,18.09765065778568
grid|SR3 r4|08:30 block|m1|h30|momentum,grid,137,-15.499999999993008,-0.11313868613133583,0.35036496350364965,-0.07530329485473083,-0.8814024685630616,-24.99999999999858,2764.9583333333335,18.09765065778568
grid|SR3 r4|08:30 block|m1|h60|fade,grid,136,43.99999999998414,0.32352941176458927,0.4411764705882353,0.13839541899100785,1.6139540612070529,-12.500000000004263,2764.9583333333335,17.965551017947828
grid|SR3 r4|08:30 block|m1|h60|momentum,grid,136,-43.99999999998414,-0.32352941176458927,0.39705882352941174,-0.13839541899100785,-1.6139540612070529,-57.49999999999176,2764.9583333333335,17.965551017947828
grid|SR3 r4|08:30 block|m1|h120|fade,grid,137,89.9999999999963,0.6569343065693161,0.45985401459854014,0.16716404899390128,1.9566050293344475,-18.000000000000682,2764.9583333333335,18.09765065778568
grid|SR3 r4|08:30 block|m1|h120|momentum,grid,137,-89.9999999999963,-0.6569343065693161,0.40145985401459855,-0.16716404899390128,-1.9566050293344475,-118.49999999999596,2764.9583333333335,18.09765065778568
grid|SR3 r4|08:30 block|m1|h240|fade,grid,137,18.99999999999409,0.13868613138681815,0.46715328467153283,0.027618216816879402,0.3232629399107636,-37.000000000001876,2764.9583333333335,18.09765065778568
grid|SR3 r4|08:30 block|m1|h240|momentum,grid,137,-18.99999999999409,-0.13868613138681815,0.4233576642335766,-0.027618216816879402,-0.3232629399107636,-64.49999999998965,2764.9583333333335,18.09765065778568
grid|SR3 r4|08:30 block|m5|h15|fade,grid,233,2.0000000000038654,0.008583690987141053,0.34763948497854075,0.010194308658668261,0.15560936817418897,-13.49999999999909,2764.9583333333335,30.779216082219442
grid|SR3 r4|08:30 block|m5|h15|momentum,grid,233,-2.0000000000038654,-0.008583690987141053,0.30042918454935624,-0.010194308658668261,-0.15560936817418897,-15.00000000000199,2764.9583333333335,30.779216082219442
grid|SR3 r4|08:30 block|m5|h30|fade,grid,232,2.5000000000034106,0.010775862068980218,0.36637931034482757,0.007688871226201171,0.11711339739790746,-17.00000000000159,2764.9583333333335,30.64711644238159
grid|SR3 r4|08:30 block|m5|h30|momentum,grid,232,-2.5000000000034106,-0.010775862068980218,0.3620689655172414,-0.007688871226201171,-0.11711339739790746,-26.99999999999676,2764.9583333333335,30.64711644238159
grid|SR3 r4|08:30 block|m5|h60|fade,grid,234,27.000000000001023,0.11538461538461976,0.405982905982906,0.053386895890586296,0.8166624717487381,-24.00000000000375,2764.9583333333335,30.911315722057292
grid|SR3 r4|08:30 block|m5|h60|momentum,grid,234,-27.000000000001023,-0.11538461538461976,0.3547008547008547,-0.053386895890586296,-0.8166624717487381,-55.00000000000256,2764.9583333333335,30.911315722057292
grid|SR3 r4|08:30 block|m5|h120|fade,grid,236,54.500000000005855,0.23093220338985532,0.4322033898305085,0.0632299617074347,0.9713571030139139,-25.500000000002387,2764.9583333333335,31.175515001732997
grid|SR3 r4|08:30 block|m5|h120|momentum,grid,236,-54.500000000005855,-0.23093220338985532,0.4279661016949153,-0.0632299617074347,-0.9713571030139139,-92.50000000000398,2764.9583333333335,31.175515001732997
grid|SR3 r4|08:30 block|m5|h240|fade,grid,235,-24.49999999999335,-0.10425531914890787,0.4340425531914894,-0.02327444316249416,-0.3567904575001694,-54.999999999996874,2764.9583333333335,31.043415361895146
grid|SR3 r4|08:30 block|m5|h240|momentum,grid,235,24.49999999999335,0.10425531914890787,0.4553191489361702,0.02327444316249416,0.3567904575001694,-58.000000000006935,2764.9583333333335,31.043415361895146
grid|SR3 r4|clustered|m1|h15|fade,grid,161,11.500000000003752,0.07142857142859473,0.4658385093167702,0.053857707404300154,0.6833776965503048,-21.000000000000796,2747.9583333333335,21.39961486558202
grid|SR3 r4|clustered|m1|h15|momentum,grid,161,-11.500000000003752,-0.07142857142859473,0.32919254658385094,-0.053857707404300154,-0.6833776965503048,-18.99999999999693,2747.9583333333335,21.39961486558202
grid|SR3 r4|clustered|m1|h30|fade,grid,162,34.99999999999517,0.21604938271601956,0.47530864197530864,0.12938164026814256,1.6467594335035576,-7.499999999996021,2747.9583333333335,21.532531728101166
grid|SR3 r4|clustered|m1|h30|momentum,grid,162,-34.99999999999517,-0.21604938271601956,0.35185185185185186,-0.12938164026814256,-1.6467594335035576,-38.49999999999483,2747.9583333333335,21.532531728101166
grid|SR3 r4|clustered|m1|h60|fade,grid,162,56.49999999998556,0.34876543209867633,0.4691358024691358,0.1463335437697424,1.8625219400635793,-10.500000000000398,2747.9583333333335,21.532531728101166
grid|SR3 r4|clustered|m1|h60|momentum,grid,162,-56.49999999998556,-0.34876543209867633,0.38271604938271603,-0.1463335437697424,-1.8625219400635793,-59.99999999998522,2747.9583333333335,21.532531728101166
grid|SR3 r4|clustered|m1|h120|fade,grid,152,76.49999999999437,0.5032894736841735,0.47368421052631576,0.1350137112134336,1.6645608239937992,-20.000000000000284,2747.9583333333335,20.203363102909734
grid|SR3 r4|clustered|m1|h120|momentum,grid,152,-76.49999999999437,-0.5032894736841735,0.40789473684210525,-0.1350137112134336,-1.6645608239937992,-103.99999999999636,2747.9583333333335,20.203363102909734
grid|SR3 r4|clustered|m1|h240|fade,grid,148,50.49999999999102,0.34121621621615555,0.4527027027027027,0.07001339723793984,0.8517497386756505,-28.5000000000025,2747.9583333333335,19.67169565283316
grid|SR3 r4|clustered|m1|h240|momentum,grid,148,-50.49999999999102,-0.34121621621615555,0.42567567567567566,-0.07001339723793984,-0.8517497386756505,-84.99999999999659,2747.9583333333335,19.67169565283316
