search,config,trades,gross_bp,tick_bp,net_bp,hit_rate,sr_per_trade,ann_sharpe,trades_per_year
consensus surprise,fade_then_flip|e15|z2|tp1|sl5|t240,34,0.5797417357300481,0.239,0.3408417357300478,0.8823529411764706,0.1862443441577024,0.39413293650032416,4.4783627839884605
parameter search,grid|TU|ISM mfg|m1|h30|momentum,82,0.4594290233320435,0.223,0.2364290233320435,0.5609756097560976,0.11906475712101536,0.3913004380650769,10.800757302560404
CPI x TY brackets,momentum|mv3|tp3b|slinfb|tr-|t238,38,0.8984035677313599,0.239,0.6595035677313599,0.6842105263157895,0.1747996353525464,0.39106819615913735,5.005228993869456
consensus surprise,fade|e2|z2|tp2|slinf|t120,32,0.7104659221774722,0.239,0.471565922177472,0.6875,0.1899079910988946,0.3898866872534347,4.2149296790479625
parameter search,grid|TU|payrolls|m1|h240|momentum,86,0.83529585811567,0.223,0.61229585811567,0.5348837209302325,0.11572487892127649,0.3894898443007499,11.3276235124414
consensus surprise,fade|e15|z1|tp5|sl1|t120,89,0.5177538567304937,0.239,0.2788538567304936,0.3595505617977528,0.1137495662615029,0.3894618568867132,11.722773169852147
consensus surprise,fade_then_flip|e2|z2|tp5|sl5|t60,33,0.7609728269102474,0.239,0.5220728269102474,0.6060606060606061,0.1867048711736273,0.3892537421304228,4.3466462315182115
consensus surprise,fade|e5|z1.5|tp3|slinf|t60,41,0.6384984094815526,0.239,0.3995984094815525,0.6341463414634146,0.1674860035789703,0.38921594686221433,5.400378651280202
consensus surprise,fade|e5|z1|tp1|slinf|t60,89,0.4147790416533469,0.239,0.1758790416533469,0.7528089887640449,0.1134747610579735,0.3885209641135254,11.722773169852147
consensus surprise,fade|e2|z1.5|tp2|slinf|t60,41,0.6193415977021066,0.239,0.3804415977021065,0.6585365853658537,0.1667918459224747,0.3876028136822994,5.400378651280202
consensus surprise,fade_then_flip|e5|z1.5|tp5|sl3|t120,52,0.7073756358343988,0.239,0.4684756358343987,0.5576923076923077,0.1480327990041293,0.38741800480597866,6.849260728452939
consensus surprise,fade|e5|z1.5|tp5|sl5|t120,41,0.8068318150994571,0.239,0.5679318150994569,0.5853658536585366,0.1650969619860711,0.38366412124214067,5.400378651280202
parameter search,grid|TU|payrolls|m5|h240|momentum,86,0.7973778613509808,0.223,0.5743778613509808,0.5116279069767442,0.11394992311117733,0.38351595805813377,11.3276235124414
consensus surprise,fade|e2|z1.5|tp3|sl0.5|t60,41,0.5344993537211847,0.239,0.2955993537211847,0.3902439024390244,0.1646732289147088,0.382679420042859,5.400378651280202
