config,instrument,release_set,measure_min,hold_min,min_move_bp,trades,total_bp,avg_bp,hit_rate,sharpe,sr_per_trade,t_stat,max_dd_bp,trades_per_year,span_days
ZQ r2|tier1|m2|h15|mv0,ZQ r2,tier1,2,15,0.0,74,1.5000000000000568,0.020270270270271038,0.28378378378378377,0.24356813273085706,0.03759693384499895,0.32342105397816456,-3.500000000003922,41.96972049689441,644.0
ZQ r2|tier1|m2|h60|mv2,ZQ r2,tier1,2,60,2.0,6,4.4999999999987494,0.7499999999997916,0.3333333333333333,0.8540960594561192,0.45022516889066366,1.1028219331405045,0.0,3.5987683886418065,608.9583333333334
ZQ r2|tier1|m5|h15|mv0,ZQ r2,tier1,5,15,0.0,87,-5.999999999998806,-0.06896551724136558,0.1839080459770115,-1.174478353499884,-0.16745959581500117,-1.5619591262435613,-10.000000000002274,49.18922231001177,646.0104166666666
ZQ r2|tier1|m5|h60|mv2,ZQ r2,tier1,5,60,2.0,9,2.5000000000005684,0.27777777777784096,0.2222222222222222,0.5847700060746661,0.2541642838877009,0.7624928516631028,-1.0000000000005116,5.2934782608695645,621.0
ZQ r2|tier1+2|m1|h15|mv0,ZQ r2,tier1+2,1,15,0.0,86,-0.9999999999976694,-0.011627906976717086,0.2441860465116279,-0.1421557608145979,-0.020400992165129677,-0.18919101826900953,-7.250000000001933,48.554149357549996,646.9375
ZQ r2|tier1+2|m1|h60|mv2,ZQ r2,tier1+2,1,60,2.0,5,2.4999999999991473,0.49999999999982947,0.6,1.7162646987362398,0.9999999999998579,2.236067977499472,0.0,2.9455645161290325,620.0
ZQ r2|tier1+2|m2|h15|mv0,ZQ r2,tier1+2,2,15,0.0,94,-4.4999999999987494,-0.04787234042551861,0.22340425531914893,-0.6483096272913325,-0.08879047215844142,-0.8608555668259237,-8.500000000003638,53.31288819875776,644.0
ZQ r2|tier1+2|m2|h60|mv2,ZQ r2,tier1+2,2,60,2.0,6,4.4999999999987494,0.7499999999997916,0.3333333333333333,0.8540960594561192,0.45022516889066366,1.1028219331405045,0.0,3.5987683886418065,608.9583333333334
ZQ r2|tier1+2|m5|h15|mv0,ZQ r2,tier1+2,5,15,0.0,114,-11.499999999999488,-0.10087719298245165,0.15789473684210525,-1.8113514206030126,-0.2256186199885459,-2.4089476607330202,-16.0000000000025,64.45484302691197,646.0104166666666
ZQ r2|tier1+2|m5|h60|mv2,ZQ r2,tier1+2,5,60,2.0,9,2.5000000000005684,0.27777777777784096,0.2222222222222222,0.5847700060746661,0.2541642838877009,0.7624928516631028,-1.0000000000005116,5.2934782608695645,621.0
ZQ r2|0830|m1|h15|mv0,ZQ r2,0830,1,15,0.0,48,4.999999999999716,0.10416666666666075,0.3541666666666667,0.8546238328605867,0.16392271031774844,1.1356898511389413,-2.5000000000019895,27.18139534883721,645.0
ZQ r2|0830|m1|h60|mv2,ZQ r2,0830,1,60,2.0,5,2.4999999999991473,0.49999999999982947,0.6,1.7162646987362398,0.9999999999998579,2.236067977499472,0.0,2.9455645161290325,620.0
ZQ r2|0830|m2|h15|mv0,ZQ r2,0830,2,15,0.0,49,2.9999999999972715,0.06122448979586268,0.32653061224489793,0.5373634563486414,0.10193372851780257,0.713536099624618,-3.500000000003922,27.79076086956522,644.0
ZQ r2|0830|m2|h60|mv2,ZQ r2,0830,2,60,2.0,6,4.4999999999987494,0.7499999999997916,0.3333333333333333,0.8540960594561192,0.45022516889066366,1.1028219331405045,0.0,3.5987683886418065,608.9583333333334
ZQ r2|0830|m5|h15|mv0,ZQ r2,0830,5,15,0.0,57,-3.499999999999659,-0.06140350877192384,0.22807017543859648,-0.7519324948291471,-0.1324532357064809,-0.9999999999998228,-6.500000000002615,32.22794117647059,646.0
ZQ r2|0830|m5|h60|mv2,ZQ r2,0830,5,60,2.0,9,2.5000000000005684,0.27777777777784096,0.2222222222222222,0.5847700060746661,0.2541642838877009,0.7624928516631028,-1.0000000000005116,5.2934782608695645,621.0
ZQ r2|clustered|m1|h15|mv0,ZQ r2,clustered,1,15,0.0,57,6.750000000002387,0.11842105263162084,0.3508771929824561,1.1529147101658332,0.20323373716327514,1.5343810672440594,-2.5000000000005684,32.18123852767849,646.9375
ZQ r2|clustered|m1|h60|mv2,ZQ r2,clustered,1,60,2.0,5,2.4999999999991473,0.49999999999982947,0.6,1.7162646987362398,0.9999999999998579,2.236067977499472,0.0,2.9455645161290325,620.0
ZQ r2|clustered|m2|h15|mv0,ZQ r2,clustered,2,15,0.0,55,4.999999999999716,0.09090909090908574,0.34545454545454546,0.8907491286741799,0.15948574918210068,1.1827779717976135,-2.5000000000019895,31.19371118012422,644.0
ZQ r2|clustered|m2|h60|mv2,ZQ r2,clustered,2,60,2.0,6,4.4999999999987494,0.7499999999997916,0.3333333333333333,0.8540960594561192,0.45022516889066366,1.1028219331405045,0.0,3.5987683886418065,608.9583333333334
ZQ r2|clustered|m5|h15|mv0,ZQ r2,clustered,5,15,0.0,68,-1.999999999999602,-0.029411764705876503,0.23529411764705882,-0.41495873805964484,-0.06692241497186119,-0.5518563713008008,-6.500000000002615,38.44736842105263,646.0
ZQ r2|clustered|m5|h60|mv2,ZQ r2,clustered,5,60,2.0,9,2.5000000000005684,0.27777777777784096,0.2222222222222222,0.5847700060746661,0.2541642838877009,0.7624928516631028,-1.0000000000005116,5.2934782608695645,621.0
ZQ r2|CPI|m1|h15|mv0,ZQ r2,CPI,1,15,0.0,9,2.5000000000005684,0.27777777777784096,0.5555555555555556,0.9688760430448778,0.41666666666665003,1.24999999999995,-1.0000000000005116,5.4070317318895205,607.9583333333334
ZQ r2|CPI|m1|h60|mv2,ZQ r2,CPI,1,60,2.0,1,1.0000000000005116,1.0000000000005116,1.0,,0.0,0.0,0.0,365.25,0.0
ZQ r2|CPI|m2|h15|mv0,ZQ r2,CPI,2,15,0.0,8,3.0000000000001137,0.3750000000000142,0.5,1.4114050879433253,0.6437963064587647,1.820930935999381,-0.5000000000009663,4.806250428346241,607.9583333333334
ZQ r2|CPI|m2|h60|mv2,ZQ r2,CPI,2,60,2.0,1,1.0000000000005116,1.0000000000005116,1.0,,0.0,0.0,0.0,365.25,0.0
ZQ r2|CPI|m5|h15|mv0,ZQ r2,CPI,5,15,0.0,9,0.9999999999990905,0.11111111111101006,0.4444444444444444,0.4728070764596517,0.20333142710983715,0.6099942813295114,-1.0000000000019327,5.4070317318895205,607.9583333333334
ZQ r2|CPI|m5|h60|mv2,ZQ r2,CPI,5,60,2.0,2,0.5000000000009663,0.25000000000048317,0.5,0.7935909668098537,0.7071067811865475,1.0,0.0,1.2595732452043968,579.9583333333334
ZQ r2|payrolls|m1|h15|mv0,ZQ r2,payrolls,1,15,0.0,17,6.999999999999318,0.41176470588231284,0.5294117647058824,2.0677286263535843,0.6659120918163912,2.7456258919349867,-0.49999999999954525,9.641692546583851,644.0
ZQ r2|payrolls|m1|h60|mv2,ZQ r2,payrolls,1,60,2.0,4,1.4999999999986358,0.37499999999965894,0.5,1.2143080166622238,0.7833494518006403,1.5666989036012806,0.0,2.4029605263157894,608.0
ZQ r2|payrolls|m2|h15|mv0,ZQ r2,payrolls,2,15,0.0,17,5.999999999998806,0.35294117647051804,0.5882352941176471,1.7351960534488338,0.5588199626086086,2.3040737315390043,-0.5000000000009663,9.641692546583851,644.0
ZQ r2|payrolls|m2|h60|mv2,ZQ r2,payrolls,2,60,2.0,5,3.499999999998238,0.6999999999996476,0.2,0.6526416980970093,0.37686733144056617,0.8427009716000498,0.0,2.998973657201505,608.9583333333334
ZQ r2|payrolls|m5|h15|mv0,ZQ r2,payrolls,5,15,0.0,18,2.000000000001023,0.11111111111116795,0.4444444444444444,0.63715461385904,0.19941434720548032,0.8460434230493027,-1.5000000000000568,10.208850931677018,644.0
ZQ r2|payrolls|m5|h60|mv2,ZQ r2,payrolls,5,60,2.0,6,3.0000000000001137,0.500000000000019,0.16666666666666666,0.7750742748788322,0.4082482904638631,1.0,0.0,3.604440789473684,608.0
TU|tier1|m1|h15|mv0,TU,tier1,1,15,0.0,934,71.59865724034515,0.07665809126375284,0.4860813704496788,0.45573657179987515,0.0410877262240137,1.2556989941886456,-54.757313114395956,123.0278815017393,2772.8958333333335
TU|tier1|m1|h60|mv2,TU,tier1,1,60,2.0,332,165.46701664883687,0.49839462846035204,0.5421686746987951,0.8992620790104653,0.13596135208353805,2.4773337349754514,-25.643975399153078,43.746328558329694,2771.9583333333335
TU|tier1|m2|h15|mv0,TU,tier1,2,15,0.0,931,38.60129846401319,0.041462189542441664,0.46509129967776586,0.2640764334007723,0.023846600199748137,0.7276144429240329,-65.02082934914883,122.63271700012773,2772.8958333333335
TU|tier1|m2|h60|mv2,TU,tier1,2,60,2.0,340,105.20044980648098,0.3094130876661205,0.5088235294117647,0.575414323233175,0.0859685192328708,1.5851811699901819,-42.432133783413434,44.80045695732559,2771.9583333333335
TU|tier1|m5|h15|mv0,TU,tier1,5,15,0.0,936,30.53450859122451,0.03262233823848772,0.46153846153846156,0.2569444934028622,0.023140516893695427,0.7079636831734588,-33.989899986594985,123.2913245028137,2772.8958333333335
TU|tier1|m5|h60|mv2,TU,tier1,5,60,2.0,369,103.64405871185309,0.28087820789120077,0.5392953929539296,0.5995292159702548,0.08599413532125674,1.6518933964578577,-34.37463198078678,48.60523369822463,2772.8958333333335
TU|tier1+2|m1|h15|mv0,TU,tier1+2,1,15,0.0,1561,88.61806126890738,0.056770058468230224,0.4509929532351057,0.5109631338267481,0.0356340750701397,1.407884222807008,-64.78250151398255,205.61185552487746,2772.96875
TU|tier1+2|m1|h60|mv2,TU,tier1+2,1,60,2.0,332,156.46590876146018,0.47128285771524153,0.5391566265060241,0.837350073125848,0.1266007438395663,2.306775335641261,-25.643975399153106,43.746328558329694,2771.9583333333335
TU|tier1+2|m2|h15|mv0,TU,tier1+2,2,15,0.0,1601,52.78893979968451,0.0329724795750684,0.44097439100562147,0.32531882641576537,0.022402212181475922,0.8963684711706524,-74.29952481925807,210.8805769989294,2772.96875
TU|tier1+2|m2|h60|mv2,TU,tier1+2,2,60,2.0,341,85.79889574004186,0.251609664926809,0.5190615835777126,0.4575021810931056,0.06825181674120656,1.2603506958660586,-44.41097444936355,44.93222300720008,2771.9583333333335
TU|tier1+2|m5|h15|mv0,TU,tier1+2,5,15,0.0,1636,19.84440677191465,0.012129832990167878,0.41687041564792177,0.15037416108572074,0.010243749345856402,0.414334019217539,-33.55720734633876,215.49070828872487,2772.96875
TU|tier1+2|m5|h60|mv2,TU,tier1+2,5,60,2.0,381,92.78785815424179,0.24353768544420418,0.5459317585301837,0.4927677660373407,0.06955870188602706,1.3577316951718996,-35.701013179840515,50.18589170467096,2772.8958333333335
TU|0830|m1|h15|mv0,TU,0830,1,15,0.0,703,5.211246883612587,0.0074128689667319865,0.4594594594594595,0.038467572085319646,0.003996826999160763,0.10597245925728987,-56.007318701901184,92.63153306176439,2771.9583333333335
TU|0830|m1|h60|mv2,TU,0830,1,60,2.0,225,62.37378244468344,0.27721681086525973,0.49777777777777776,0.39423786352085266,0.0724044585518797,1.0860668782781955,-30.076912725346368,29.647361221759585,2771.9583333333335
TU|0830|m2|h15|mv0,TU,0830,2,15,0.0,703,-1.991651491261365,-0.0028330746675126104,0.4566145092460882,-0.015568306194008175,-0.0016175657353524543,-0.042888375959634885,-77.4985497691976,92.63153306176439,2771.9583333333335
TU|0830|m2|h60|mv2,TU,0830,2,60,2.0,226,13.55436360387477,0.05997506019413615,0.4823008849557522,0.08510180926163835,0.01559490775938307,0.23444287034019304,-63.04478862835542,29.77912727163407,2771.9583333333335
TU|0830|m5|h15|mv0,TU,0830,5,15,0.0,717,2.200900586261838,0.003069596354619021,0.4476987447698745,0.020709652979081897,0.0021306468901685703,0.05705202427880579,-34.920342607041235,94.4762577600072,2771.9583333333335
TU|0830|m5|h60|mv2,TU,0830,5,60,2.0,250,30.921560287929104,0.12368624115171642,0.504,0.20633622219346723,0.035950398360865186,0.5684257080535895,-28.97047649066535,32.94151246862176,2771.9583333333335
TU|clustered|m1|h15|mv0,TU,clustered,1,15,0.0,709,33.09634585251829,0.046680318550801535,0.46544428772919605,0.23580415497465748,0.024396446454688664,0.6496054949953026,-34.88947168073851,93.42212936101132,2771.9583333333335
TU|clustered|m1|h60|mv2,TU,clustered,1,60,2.0,263,110.12128163122739,0.4187120974571384,0.5399239543726235,0.6592163497095107,0.11198202907125161,1.8160433314165583,-29.307400456175003,34.65447111699009,2771.9583333333335
TU|clustered|m2|h15|mv0,TU,clustered,2,15,0.0,704,20.14252354623664,0.028611539128177044,0.4602272727272727,0.15155673002856646,0.015735738634720182,0.4175163268037295,-60.44007628515487,92.76329911163887,2771.9583333333335
TU|clustered|m2|h60|mv2,TU,clustered,2,60,2.0,265,72.28031255567915,0.2727558964365251,0.5132075471698113,0.4241389566286347,0.07177669603377985,1.1684399577146836,-45.06879965943973,34.918003216739066,2771.9583333333335
TU|clustered|m5|h15|mv0,TU,clustered,5,15,0.0,718,16.66248700485957,0.02320680641345344,0.4623955431754875,0.1514688771547291,0.015572538760060149,0.4172743051582584,-31.696763367959896,94.60802380988169,2771.9583333333335
TU|clustered|m5|h60|mv2,TU,clustered,5,60,2.0,284,73.41920884481893,0.25851834100288357,0.5387323943661971,0.47289439120035626,0.07730422484036527,1.302753953208436,-30.951266356830605,37.421558164354316,2771.9583333333335
TU|CPI|m1|h15|mv0,TU,CPI,1,15,0.0,84,11.415365079315196,0.1358972033251809,0.5,0.18778430190525197,0.056127506066003675,0.5144170902331098,-21.436239201377482,11.193530243375948,2740.9583333333335
TU|CPI|m1|h60|mv2,TU,CPI,1,60,2.0,48,31.79845524876746,0.6624678176826554,0.4791666666666667,0.38182654357245205,0.14590506478823154,1.0108599411793833,-20.052313134540462,6.8484375,2560.0
TU|CPI|m2|h15|mv0,TU,CPI,2,15,0.0,82,11.371492171976799,0.1386767338045951,0.4878048780487805,0.2004131383169962,0.06062829668202978,0.5490125767250386,-14.460105561358938,10.927017618533664,2740.9583333333335
TU|CPI|m2|h60|mv2,TU,CPI,2,60,2.0,48,27.771973809910975,0.5785827877064786,0.4583333333333333,0.32509099410765785,0.1242250528566201,0.8606564124823812,-20.97789635414543,6.8484375,2560.0
TU|CPI|m5|h15|mv0,TU,CPI,5,15,0.0,83,-4.772041400910271,-0.0574944747097623,0.5180722891566265,-0.07849207848016224,-0.023601678369706933,-0.21502152314354173,-27.460746012342344,11.060273930954805,2740.9583333333335
TU|CPI|m5|h60|mv2,TU,CPI,5,60,2.0,50,-6.650261269940638,-0.13300522539881277,0.46,-0.07931750560111321,-0.02969674953568608,-0.20998772975882082,-42.130072007971044,7.1337890625,2560.0
TU|payrolls|m1|h15|mv0,TU,payrolls,1,15,0.0,89,3.736162484893948,0.04197935376285335,0.449438202247191,0.0569564427876176,0.01663206183493373,0.15690655753796354,-18.315935914198725,11.727178438829347,2771.9583333333335
TU|payrolls|m1|h60|mv2,TU,payrolls,1,60,2.0,58,4.056128105208379,0.06993324319324791,0.5344827586206896,0.046826466569572255,0.01693852649954598,0.12899997456820542,-28.04953235527357,7.642430892720248,2771.9583333333335
TU|payrolls|m2|h15|mv0,TU,payrolls,2,15,0.0,89,4.261247486164357,0.04787918523780176,0.4157303370786517,0.07135879260990671,0.020837745355336727,0.1965828965168468,-24.413792321510797,11.727178438829347,2771.9583333333335
TU|payrolls|m2|h60|mv2,TU,payrolls,2,60,2.0,56,-2.2198265071286656,-0.03963975905586903,0.4642857142857143,-0.024673318584458894,-0.00908305177131085,-0.06797133550915074,-37.31527605319984,7.378898792971274,2771.9583333333335
