,variant,reason
177,MEETING->FED_FUNDS|hl240|unweighted|h60,signal space MEETING not built for this window
178,MEETING->FED_FUNDS|hl240|unweighted|h240,signal space MEETING not built for this window
179,MEETING->FED_FUNDS|hl240|unweighted|h1440,signal space MEETING not built for this window
180,MEETING->FED_FUNDS|hl1440|expected|h5,signal space MEETING not built for this window
181,MEETING->FED_FUNDS|hl1440|expected|h15,signal space MEETING not built for this window
182,MEETING->FED_FUNDS|hl1440|expected|h30,signal space MEETING not built for this window
183,MEETING->FED_FUNDS|hl1440|expected|h60,signal space MEETING not built for this window
184,MEETING->FED_FUNDS|hl1440|expected|h240,signal space MEETING not built for this window
185,MEETING->FED_FUNDS|hl1440|expected|h1440,signal space MEETING not built for this window
186,MEETING->FED_FUNDS|hl1440|unweighted|h5,signal space MEETING not built for this window
187,MEETING->FED_FUNDS|hl1440|unweighted|h15,signal space MEETING not built for this window
188,MEETING->FED_FUNDS|hl1440|unweighted|h30,signal space MEETING not built for this window
189,MEETING->FED_FUNDS|hl1440|unweighted|h60,signal space MEETING not built for this window
190,MEETING->FED_FUNDS|hl1440|unweighted|h240,signal space MEETING not built for this window
191,MEETING->FED_FUNDS|hl1440|unweighted|h1440,signal space MEETING not built for this window
