,day,bucket,lls,peak_lag_min,peak_rho,n_x,n_y
230,38,FFK26,0.3293610340350817,1.0,-0.11758801893121233,96,91
231,38,FFM26,0.005471151607300694,0.0,-0.31286292346587197,96,89
232,38,FFN26,0.4208828443129386,30.0,-0.2110003083785974,96,93
233,38,FFQ26,-9.419455761549678,-5.0,0.24506533500810698,96,96
234,39,FFH26,0.40352957730829186,240.0,-0.03460422107960423,96,52
235,39,FFJ26,0.04561597584132684,0.0,0.08301078213156461,96,90
236,39,FFK26,5.805176827815288,1.0,-0.13635415950226115,96,90
237,39,FFM26,2.717406480568754,1.0,-0.19810572204820473,96,85
238,39,FFN26,-9.582910345763224,-1.0,0.6109787646621406,96,96
239,39,FFQ26,0.004194635504902136,-1.0,0.1118084645106954,96,96
240,40,FFH26,1.0273452720791774,0.0,-0.5086943343581055,96,70
241,40,FFJ26,0.10881944655716964,-60.0,0.08278353822436475,96,93
242,40,FFK26,2.2890746939501034,15.0,-0.2139414093955068,96,96
243,40,FFM26,-62.519397880771635,-60.0,0.3918308122064793,96,93
244,40,FFN26,0.12644122109745912,15.0,0.19951247291233476,96,94
245,40,FFQ26,2.935805897962922,120.0,-0.27009780836891445,96,92
246,41,FFH26,-8.934672358863626,-15.0,-0.3424475594773844,96,73
247,41,FFJ26,-46.30075748078253,-30.0,0.5050778181401913,96,94
248,41,FFK26,-0.1942793930446777,-15.0,0.14990505912305715,96,96
249,41,FFM26,-0.03169673467197343,0.0,0.20985529008242695,96,96
250,41,FFN26,-5.6979570206512875,-15.0,0.41615277587806443,96,96
251,41,FFQ26,0.6159735602005313,120.0,0.1951271409713627,96,96
252,42,FFH26,-0.4327789450615462,1.0,0.15759866713421758,96,76
253,42,FFJ26,-1.9923850115563666,-60.0,-0.24704799009953515,96,96
254,42,FFK26,-0.9238404914236185,-30.0,-0.13965766777031427,96,96
255,42,FFM26,2.316919202170934,15.0,-0.3766332372253263,96,92
256,42,FFN26,-8.165893068894954,-30.0,0.21927927037432943,96,92
257,42,FFQ26,-0.6810445601108838,-240.0,0.1335255530249882,96,96
258,43,FFH26,13.079831830130525,240.0,0.433005518685426,96,96
259,43,FFJ26,11.434296417707902,60.0,-0.4419048121474127,96,93
260,43,FFK26,-0.8742976041160141,-60.0,-0.17513010551371477,96,96
261,43,FFM26,-0.5979710423375435,-30.0,0.13460341505007278,96,96
