,day,bucket,lls,peak_lag_min,peak_rho,n_x,n_y
153,25,SFRZ26,-9.597022663052433,-120.0,-0.4149142951233004,96,96
154,25,SFRH27,-6.367011568191379,-1.0,0.3179510721112687,96,96
155,25,SFRM27,0.13314999145802345,30.0,0.21895658332987963,96,96
156,26,SFRH26,-0.08274362286142625,-15.0,0.19612359073574182,96,96
157,26,SFRM26,7.508978384764926,15.0,0.3504225970814428,96,96
158,26,SFRU26,0.4032549224575152,240.0,-0.17864514386520225,96,96
159,26,SFRZ26,0.44365084285788564,60.0,-0.22839906509692318,96,96
160,26,SFRH27,-0.5722639778484522,-5.0,-0.19500910735139826,96,96
161,26,SFRM27,-0.5703240614010863,-1.0,-0.24915389600582538,96,96
162,27,SFRH26,-6.132459899167567,-120.0,-0.3570755487853212,96,96
163,27,SFRM26,-4.272194299947453,-30.0,0.293362265479664,96,96
164,27,SFRU26,3.26858765351901,1.0,-0.27127253024596765,96,96
165,27,SFRZ26,-0.8576496841955213,-1.0,-0.2660607291104447,96,96
166,27,SFRH27,-0.20139186670918227,-30.0,-0.3023992731391712,96,96
167,27,SFRM27,-0.954605509377422,-30.0,-0.17321728140028117,96,96
168,28,SFRH26,4.43749578989216,30.0,0.12462885881223504,96,96
169,28,SFRM26,-5.932201086503435,-30.0,-0.35616947157685347,96,96
170,28,SFRU26,0.2271211718458098,1.0,-0.23084690454374987,96,96
171,28,SFRZ26,-1.7178592959250716,-60.0,0.19553407858310612,96,96
172,28,SFRH27,-0.28235250563205494,-1.0,-0.20076970013891218,96,96
173,28,SFRM27,0.031200024643074295,120.0,-0.19723666118276065,96,96
174,29,SFRH26,0.10278294643263515,30.0,-0.08575186748916705,96,96
175,29,SFRM26,-39.33700336422004,-1.0,0.35052585790796054,96,96
176,29,SFRU26,-8.284004819131848,-1.0,0.42655442211886274,96,96
177,29,SFRZ26,-4.7027618149084525,-1.0,0.28212068462345663,96,96
178,29,SFRH27,-3.6287654006871994,-1.0,0.3471462616121896,96,96
179,29,SFRM27,-3.4438313090049038,-1.0,0.22248828351828787,96,96
180,30,SFRH26,1.5229468023556225,120.0,0.17117955549246267,96,96
181,30,SFRM26,-5.325850581592921,-120.0,-0.1803273292304315,96,96
182,30,SFRU26,0.6280351884513126,15.0,-0.1936613218198893,96,96
183,30,SFRZ26,2.1647154312452948,5.0,-0.15599947047291662,96,96
184,30,SFRH27,0.5841213495513845,1.0,0.3859343903238689,96,96
185,30,SFRM27,-0.2666261772107973,5.0,-0.18043593438535607,96,96
186,31,SFRH26,11.405817759647977,1.0,0.38650209909076544,96,96
187,31,SFRM26,-9.177757102277026,-60.0,-0.32867457936519745,96,96
188,31,SFRU26,-1.1598446969804503,-240.0,-0.2139235844833167,96,96
189,31,SFRZ26,-0.6089358945065148,-60.0,0.16598226834914728,96,96
190,31,SFRH27,0.6980801138711602,1.0,-0.24726313493477795,96,96
191,31,SFRM27,-1.9572478700707379,-60.0,0.30226567789281705,96,96
192,32,SFRH26,-57.75298691858741,-60.0,0.2706035047134485,96,96
193,32,SFRM26,0.6942120460606396,1.0,-0.12130773279338304,96,96
194,32,SFRU26,-0.7990518237939132,-120.0,-0.20596552443403707,96,96
195,32,SFRZ26,14.278477679592916,5.0,0.3502516509465665,96,96
196,32,SFRH27,4.208820564426309,15.0,-0.2927422046451457,96,96
197,32,SFRM27,1.4282108139776326,120.0,-0.13863590482399937,96,96
198,33,SFRH26,0.6785054146822,1.0,-0.18671570742815694,96,96
