,ts,bucket,horizon_min,innovation,flow_signed_by_innovation,expected_sign
13370,2026-06-03 11:05:00-04:00,SFRZ26,30,-8481.346942677388,487.0,-1
13371,2026-06-03 11:05:00-04:00,SFRZ26,60,-8481.346942677388,1854.0,-1
13372,2026-06-03 12:25:00-04:00,SFRZ26,5,-11913.525195804636,-1419.0,-1
13373,2026-06-03 12:25:00-04:00,SFRZ26,15,-11913.525195804636,-1419.0,-1
13374,2026-06-03 12:25:00-04:00,SFRZ26,30,-11913.525195804636,-6330.0,-1
13375,2026-06-03 12:25:00-04:00,SFRZ26,60,-11913.525195804636,-8923.0,-1
13376,2026-06-03 12:45:00-04:00,SFRZ26,5,-14558.274252658106,-0.0,-1
13377,2026-06-03 12:45:00-04:00,SFRZ26,15,-14558.274252658106,-2062.0,-1
13378,2026-06-03 12:45:00-04:00,SFRZ26,30,-14558.274252658106,-2062.0,-1
13379,2026-06-03 12:45:00-04:00,SFRZ26,60,-14558.274252658106,-2062.0,-1
13380,2026-06-03 13:00:00-04:00,SFRZ26,5,-25819.217808936795,-0.0,-1
13381,2026-06-03 13:00:00-04:00,SFRZ26,15,-25819.217808936795,-0.0,-1
13382,2026-06-03 13:00:00-04:00,SFRZ26,30,-25819.217808936795,-0.0,-1
13383,2026-06-03 13:00:00-04:00,SFRZ26,60,-25819.217808936795,-0.0,-1
13384,2026-06-03 13:45:00-04:00,SFRZ26,5,-18770.09659741402,-0.0,-1
13385,2026-06-03 13:45:00-04:00,SFRZ26,15,-18770.09659741402,-0.0,-1
13386,2026-06-03 13:45:00-04:00,SFRZ26,30,-18770.09659741402,-0.0,-1
13387,2026-06-03 13:45:00-04:00,SFRZ26,60,-18770.09659741402,-1677.0,-1
13388,2026-06-03 14:15:00-04:00,SFRZ26,5,-11821.719134494488,-0.0,-1
13389,2026-06-03 14:15:00-04:00,SFRZ26,15,-11821.719134494488,-2882.0,-1
13390,2026-06-03 14:15:00-04:00,SFRZ26,30,-11821.719134494488,-1677.0,-1
13391,2026-06-03 14:15:00-04:00,SFRZ26,60,-11821.719134494488,-1732.0,-1
13392,2026-06-04 09:15:00-04:00,SFRZ26,5,-17807.89007405979,-0.0,-1
13393,2026-06-04 09:15:00-04:00,SFRZ26,15,-17807.89007405979,1953.0,-1
13394,2026-06-04 09:15:00-04:00,SFRZ26,30,-17807.89007405979,-1790.0,-1
13395,2026-06-04 09:15:00-04:00,SFRZ26,60,-17807.89007405979,-2619.0,-1
13396,2026-06-04 10:30:00-04:00,SFRZ26,5,-11559.332198513144,-0.0,-1
13397,2026-06-04 10:30:00-04:00,SFRZ26,15,-11559.332198513144,-0.0,-1
13398,2026-06-04 10:30:00-04:00,SFRZ26,30,-11559.332198513144,-278.0,-1
13399,2026-06-04 10:30:00-04:00,SFRZ26,60,-11559.332198513144,-278.0,-1
13400,2026-06-04 12:55:00-04:00,SFRZ26,5,-24451.224617368687,-0.0,-1
13401,2026-06-04 12:55:00-04:00,SFRZ26,15,-24451.224617368687,-0.0,-1
13402,2026-06-04 12:55:00-04:00,SFRZ26,30,-24451.224617368687,-0.0,-1
13403,2026-06-04 12:55:00-04:00,SFRZ26,60,-24451.224617368687,-985.0,-1
13404,2026-06-04 14:20:00-04:00,SFRZ26,5,-11425.43139101653,-0.0,-1
13405,2026-06-04 14:20:00-04:00,SFRZ26,15,-11425.43139101653,-0.0,-1
13406,2026-06-04 14:20:00-04:00,SFRZ26,30,-11425.43139101653,-1616.0,-1
13407,2026-06-04 14:20:00-04:00,SFRZ26,60,-11425.43139101653,-1583.0,-1
13408,2026-06-04 15:50:00-04:00,SFRZ26,5,-12802.465856162959,-117.0,-1
13409,2026-06-04 15:50:00-04:00,SFRZ26,15,-12802.465856162959,-117.0,-1
13410,2026-06-04 15:50:00-04:00,SFRZ26,30,-12802.465856162959,-117.0,-1
13411,2026-06-04 15:50:00-04:00,SFRZ26,60,-12802.465856162959,-117.0,-1
13412,2026-06-05 08:10:00-04:00,SFRZ26,5,-150484.8621015282,-0.0,-1
13413,2026-06-05 08:10:00-04:00,SFRZ26,15,-150484.8621015282,297.0,-1
13414,2026-06-05 08:10:00-04:00,SFRZ26,30,-150484.8621015282,71201.0,-1
13415,2026-06-05 08:10:00-04:00,SFRZ26,60,-150484.8621015282,104399.0,-1
13416,2026-06-05 08:15:00-04:00,SFRZ26,5,6462.405664246995,4603.0,-1
13417,2026-06-05 08:15:00-04:00,SFRZ26,15,6462.405664246995,-19096.0,-1
13418,2026-06-05 08:15:00-04:00,SFRZ26,30,6462.405664246995,-88657.0,-1
13419,2026-06-05 08:15:00-04:00,SFRZ26,60,6462.405664246995,-104399.0,-1
13420,2026-06-05 08:25:00-04:00,SFRZ26,5,6885.040089126502,-18799.0,-1
13421,2026-06-05 08:25:00-04:00,SFRZ26,15,6885.040089126502,-70904.0,-1
13422,2026-06-05 08:25:00-04:00,SFRZ26,30,6885.040089126502,-119511.0,-1
13423,2026-06-05 08:25:00-04:00,SFRZ26,60,6885.040089126502,-99412.0,-1
13424,2026-06-05 08:30:00-04:00,SFRZ26,5,6625.219408723875,-52105.0,-1
13425,2026-06-05 08:30:00-04:00,SFRZ26,15,6625.219408723875,-69561.0,-1
13426,2026-06-05 08:30:00-04:00,SFRZ26,30,6625.219408723875,-111106.0,-1
13427,2026-06-05 08:30:00-04:00,SFRZ26,60,6625.219408723875,-85156.0,-1
13428,2026-06-05 08:35:00-04:00,SFRZ26,5,6375.209889843507,0.0,-1
13429,2026-06-05 08:35:00-04:00,SFRZ26,15,6375.209889843507,-30733.0,-1
13430,2026-06-05 08:35:00-04:00,SFRZ26,30,6375.209889843507,-50367.0,-1
13431,2026-06-05 08:35:00-04:00,SFRZ26,60,6375.209889843507,-28468.0,-1
13432,2026-06-05 08:40:00-04:00,SFRZ26,5,8349.070201874652,-17456.0,-1
13433,2026-06-05 08:40:00-04:00,SFRZ26,15,8349.070201874652,-48607.0,-1
13434,2026-06-05 08:40:00-04:00,SFRZ26,30,8349.070201874652,-33198.0,-1
13435,2026-06-05 08:40:00-04:00,SFRZ26,60,8349.070201874652,-32941.0,-1
13436,2026-06-05 08:50:00-04:00,SFRZ26,5,-6541.179728793708,17874.0,-1
13437,2026-06-05 08:50:00-04:00,SFRZ26,15,-6541.179728793708,19634.0,-1
13438,2026-06-05 08:50:00-04:00,SFRZ26,30,-6541.179728793708,-4504.0,-1
13439,2026-06-05 08:50:00-04:00,SFRZ26,60,-6541.179728793708,-5378.0,-1
13440,2026-06-05 08:55:00-04:00,SFRZ26,5,5984.480233995622,-10394.0,-1
13441,2026-06-05 08:55:00-04:00,SFRZ26,15,5984.480233995622,15409.0,-1
13442,2026-06-05 08:55:00-04:00,SFRZ26,30,5984.480233995622,20099.0,-1
13443,2026-06-05 08:55:00-04:00,SFRZ26,60,5984.480233995622,16594.0,-1
13444,2026-06-05 09:00:00-04:00,SFRZ26,5,31078.566842662127,8634.0,-1
13445,2026-06-05 09:00:00-04:00,SFRZ26,15,31078.566842662127,25803.0,-1
13446,2026-06-05 09:00:00-04:00,SFRZ26,30,31078.566842662127,25950.0,-1
13447,2026-06-05 09:00:00-04:00,SFRZ26,60,31078.566842662127,16541.0,-1
13448,2026-06-05 09:15:00-04:00,SFRZ26,5,-8075.5489996176475,-6969.0,-1
13449,2026-06-05 09:15:00-04:00,SFRZ26,15,-8075.5489996176475,-147.0,-1
13450,2026-06-05 09:15:00-04:00,SFRZ26,30,-8075.5489996176475,-4279.0,-1
13451,2026-06-05 09:15:00-04:00,SFRZ26,60,-8075.5489996176475,852.0,-1
13452,2026-06-05 12:45:00-04:00,SFRZ26,5,-23463.050362480688,-13798.0,-1
13453,2026-06-05 12:45:00-04:00,SFRZ26,15,-23463.050362480688,-16328.0,-1
13454,2026-06-05 12:45:00-04:00,SFRZ26,30,-23463.050362480688,-14570.0,-1
13455,2026-06-05 12:45:00-04:00,SFRZ26,60,-23463.050362480688,-9537.0,-1
13456,2026-06-05 13:25:00-04:00,SFRZ26,5,-10455.516133067744,5033.0,-1
13457,2026-06-05 13:25:00-04:00,SFRZ26,15,-10455.516133067744,5033.0,-1
