trade_id,opened_at,role,cusip,w,cost_bp
109,2022-09-09,front,912810RV2,-0.33699633699633896,0.5323640783920476
109,2022-09-09,belly,912810RY6,1.0,0.3235301925616336
109,2022-09-09,back,912810RZ3,-0.6630036630036611,0.4315125939662785
110,2022-09-09,front,912810RS9,-0.3333333333333333,0.5817403399133378
110,2022-09-09,belly,912810RU4,1.0,0.6580637294792475
110,2022-09-09,back,912810RV2,-0.6666666666666667,0.5323640783920476
111,2022-09-09,front,912810SA7,-0.5054945054945,0.3083433234972914
111,2022-09-09,belly,912810SC3,1.0,0.30292762309490046
111,2022-09-09,back,912810SD1,-0.49450549450549997,0.30232474068469767
112,2022-09-30,front,912810RN0,-0.32600732600732685,0.8406701262178277
112,2022-09-30,belly,912810RQ3,1.0,0.8652539816912
112,2022-09-30,back,912810RS9,-0.6739926739926732,0.8677015867506589
113,2022-09-30,front,912810RQ3,-0.6739926739926747,0.8652539816912
113,2022-09-30,belly,912810RS9,1.0,0.8677015867506589
113,2022-09-30,back,912810RU4,-0.3260073260073253,0.7000496988839399
114,2022-10-24,front,912810RD2,-0.2513661202185797,1.0409382886576892
114,2022-10-24,belly,912810RH3,1.0,0.9503955422234979
114,2022-10-24,back,912810RJ9,-0.7486338797814203,0.9677337409333743
115,2022-10-24,front,912810RC4,-0.7486338797814204,0.9173610756562995
115,2022-10-24,belly,912810RD2,1.0,1.0409382886576892
115,2022-10-24,back,912810RH3,-0.2513661202185796,0.9503955422234979
116,2022-11-15,front,912810RU4,-0.6630036630036626,1.091854977590819
116,2022-11-15,belly,912810RV2,1.0,0.8404707251655686
116,2022-11-15,back,912810RY6,-0.33699633699633735,0.6090464120635105
117,2022-11-15,front,912810SA7,-0.5054945054945073,0.46628614239716304
117,2022-11-15,belly,912810SC3,1.0,0.45094192795424265
117,2022-11-15,back,912810SD1,-0.49450549450549275,0.45764245307411144
118,2022-11-22,front,912810RH3,-0.5,0.8639907457197242
118,2022-11-22,belly,912810RJ9,1.0,0.8629566015226721
118,2022-11-22,back,912810RK6,-0.5,0.9124245117285027
119,2022-11-22,front,912810SF6,-0.5082872928176804,0.4394015526634988
119,2022-11-22,belly,912810SH2,1.0,0.32925027514108823
119,2022-11-22,back,912810SJ8,-0.49171270718231963,0.4772183977838725
120,2022-11-22,front,912810QZ4,-0.5082872928176804,1.0220283026640649
120,2022-11-22,belly,912810RB6,1.0,1.0331714257867888
120,2022-11-22,back,912810RC4,-0.49171270718231963,0.8387375347122003
121,2022-12-07,front,912810RB6,-0.5000000000000036,0.9657234881749591
121,2022-12-07,belly,912810RC4,1.0,0.7846217080630247
121,2022-12-07,back,912810RD2,-0.49999999999999645,0.7623631274155224
122,2022-12-29,front,912810RD2,-0.251366120218577,0.8224121852725856
122,2022-12-29,belly,912810RH3,1.0,0.7432295842597352
122,2022-12-29,back,912810RJ9,-0.7486338797814229,0.8654664435335873
123,2023-01-06,front,912810RV2,-0.3369963369963342,0.6732427068749262
