signal,horizon,n_dates,ic_mean,ic_sd,ic_t_naive,ic_t,ic_hit,ic_ir
agg_act__tlt_only__w025__book,5,1491,-0.002358583624394629,0.18275075228673665,-0.4983459432305502,-0.3136077753237202,0.49295774647887325,-0.09162360464686468
agg_act__tlt_only__w025__book,10,1486,-0.006001173654780167,0.18334965551498855,-1.2617273012617543,-0.6007290575604265,0.477792732166891,-0.16430711348132906
agg_act__tlt_only__w025__book,21,1475,-0.008687505976492153,0.18009053968298724,-1.8526792053702654,-0.6356351955920738,0.5003389830508475,-0.16710707590559967
agg_act__tlt_only__w025__book,42,1454,-0.01234526058983454,0.1864929272865597,-2.5241787078266626,-0.604895154442218,0.49449793672627235,-0.16214871859628127
agg_act__tlt_only__w025__book,63,1433,-0.017520792662612125,0.19116523295799975,-3.469508334622594,-0.6664265829944188,0.47801814375436147,-0.1833052212633409
agg_act__tlt_only__w025__equal,5,1491,-0.002358583624394629,0.18275075228673665,-0.4983459432305502,-0.3136077753237202,0.49295774647887325,-0.09162360464686468
agg_act__tlt_only__w025__equal,10,1486,-0.006001173654780167,0.18334965551498855,-1.2617273012617543,-0.6007290575604265,0.477792732166891,-0.16430711348132906
agg_act__tlt_only__w025__equal,21,1475,-0.008687505976492153,0.18009053968298724,-1.8526792053702654,-0.6356351955920738,0.5003389830508475,-0.16710707590559967
agg_act__tlt_only__w025__equal,42,1454,-0.01234526058983454,0.1864929272865597,-2.5241787078266626,-0.604895154442218,0.49449793672627235,-0.16214871859628127
agg_act__tlt_only__w025__equal,63,1433,-0.017520792662612125,0.19116523295799975,-3.469508334622594,-0.6664265829944188,0.47801814375436147,-0.1833052212633409
agg_act__tlt_only__w05__book,5,1492,-0.007158608568135349,0.20297147550885478,-1.3623165059801126,-0.8500119704645756,0.4865951742627346,-0.25038532721247314
agg_act__tlt_only__w05__book,10,1487,-0.011406410117129595,0.20490265419093695,-2.1466284593017195,-1.0066113019364562,0.47747141896435774,-0.27944842673526393
agg_act__tlt_only__w05__book,21,1476,-0.010127806433606931,0.20515452972948064,-1.8966074870265373,-0.6560037580507874,0.46747967479674796,-0.17101133799347343
agg_act__tlt_only__w05__book,42,1455,-0.008980708255586634,0.21825076034027388,-1.5695903485475846,-0.372447495206996,0.4934707903780069,-0.10079301772278106
agg_act__tlt_only__w05__book,63,1434,-0.009722677849461351,0.21780256137618306,-1.6904311578319158,-0.3350748390416829,0.5139470013947002,-0.08927973838350402
agg_act__tlt_only__w05__equal,5,1492,-0.007158608568135349,0.20297147550885478,-1.3623165059801126,-0.8500119704645756,0.4865951742627346,-0.25038532721247314
agg_act__tlt_only__w05__equal,10,1487,-0.011406410117129595,0.20490265419093695,-2.1466284593017195,-1.0066113019364562,0.47747141896435774,-0.27944842673526393
agg_act__tlt_only__w05__equal,21,1476,-0.010127806433606931,0.20515452972948064,-1.8966074870265373,-0.6560037580507874,0.46747967479674796,-0.17101133799347343
agg_act__tlt_only__w05__equal,42,1455,-0.008980708255586634,0.21825076034027388,-1.5695903485475846,-0.372447495206996,0.4934707903780069,-0.10079301772278106
agg_act__tlt_only__w05__equal,63,1434,-0.009722677849461351,0.21780256137618306,-1.6904311578319158,-0.3350748390416829,0.5139470013947002,-0.08927973838350402
agg_act__tlt_only__w1__book,5,1492,-0.018593473055271762,0.2149829982724214,-3.340725674862586,-2.0644558525490213,0.45308310991957107,-0.6140046659904373
agg_act__tlt_only__w1__book,10,1487,-0.027755513877677045,0.22050050998167314,-4.8539484359824225,-2.222888550618001,0.45729657027572296,-0.6318877624172642
