trade_id,opened_at,closed_at,hold_days,belly,side,score,ttm_belly,wing_span_y,a,R_entry_bp,R_exit_bp,price_bp,carry_bp,gross_bp,cost_bp,pnl_bp,convexity_bp,year,month
176,2024-02-13,2024-04-15,42,912810SP4,-1.0,-1.8327347691234852,26.50513347022587,0.5037645448323076,0.5,-0.06942749023441941,0.09882355327976988,0.1682510435141893,0.05525639192749083,0.2235074354416801,0.617258841331847,-0.39375140589016694,2.037222191159941,2024,2
177,2024-02-21,2024-04-22,42,912810TD0,1.0,5.0,27.98631074606434,0.4982888432580417,0.4945054945054928,-0.20267151214268253,0.22331489311464559,-0.4259864052573281,-0.07434236307429552,-0.5003287683316237,1.1274680768944656,-1.6277968452260891,8.83588932083262,2024,2
178,2024-02-21,2024-04-22,42,912810TB4,1.0,5.0,27.734428473648187,0.5037645448323076,0.5,-0.2254486083983931,-0.7580547602485943,0.5326061518502012,-0.07940999824703095,0.4531961536031703,1.252085480615553,-0.7988893270123827,13.800784724117193,2024,2
179,2024-02-21,2024-04-22,42,912810SZ2,1.0,5.0,27.482546201232033,0.7474332648870643,0.33699633699633735,0.34150413541125246,0.4460100846140236,-0.10450594920277112,0.03668712922996395,-0.06781881997280717,1.2172730499243685,-1.2850918698971756,-6.477374061131343,2024,2
180,2024-02-21,2024-04-22,42,912810SU3,-1.0,-5.0,26.986995208761122,0.7474332648870643,0.6630036630036626,0.3222734500200275,0.09482262438833544,-0.22745082563169206,-0.041363950951303054,-0.26881477658299513,1.1523335064410252,-1.4211482830240203,-7.211988051665799,2024,2
181,2024-03-06,2024-05-06,42,912810SS8,-1.0,-4.224026855118173,26.69678302532512,0.503764544832304,0.49999999999999645,-0.08932579063882784,0.19197463989262253,0.2813004305314504,-0.03681053872184149,0.2444898918096089,0.7842790952400487,-0.5397892034304398,-4.268808551149704,2024,3
182,2024-04-04,2024-06-04,42,912810SN9,-1.0,-2.5422492783715613,26.11362080766598,0.4955509924709105,0.5082872928176804,-1.5023422114677665,-1.7360734618879547,-0.23373125042018827,0.24304578628144968,0.009314535861261408,0.9266442476712204,-0.917329711809959,31.755141881350795,2024,4
183,2024-04-18,2024-06-18,42,912810SP4,-1.0,-2.1754564589807814,26.327173169062284,0.503764544832304,0.5000000000000036,0.22058664997421928,0.2968645095825284,0.07627785960830913,0.025527564868993144,0.10180542447730227,0.9917806316117996,-0.8899752071344974,8.23473333311756,2024,4
184,2024-04-25,2024-06-26,42,912810TB4,1.0,2.006435689434104,27.55920602327173,0.5037645448323076,0.5,-0.43058395385737747,-0.8028173446656073,0.3722333908082298,-0.13130015450132512,0.2409332363069047,0.7585919888390216,-0.5176587525321169,13.660163035547725,2024,4
185,2024-04-25,2024-06-26,42,912810SZ2,1.0,2.006435689434104,27.307323750855577,0.7474332648870643,0.33699633699633735,0.3714613862090488,0.47585910056535674,-0.10439771435630796,0.06973276309325559,-0.03466495126305237,0.7652215761558543,-0.7998865274189066,-6.377825024385743,2024,4
186,2024-04-25,2024-06-26,42,912810TD0,1.0,2.006435689434104,27.811088295687885,0.4982888432580417,0.4945054945054928,-0.2714932619871213,0.16024543595727359,-0.4317386979443949,-0.025339455640821015,-0.4570781535852159,0.584997644864822,-1.042075798450038,8.780787605582788,2024,4
187,2024-05-09,2024-07-11,42,912810SS8,-1.0,-1.7831395412275766,26.521560574948666,0.5037645448323076,0.5,0.2525659931984947,0.2705848883170159,0.018018895118521172,0.01867164655221194,0.036690541670733115,0.8614349554906005,-0.8247444138198673,-4.516777975222084,2024,5
188,2024-05-16,2024-07-18,42,912810RV2,1.0,3.3969716136117505,22.754277891854894,0.7474332648870643,0.6630036630036626,0.1618145938502069,-0.14922452933623376,0.31103912318644067,0.09596235136796231,0.407001474554403,0.9410566805590421,-0.5340552060046391,-7.3167544670206865,2024,5
189,2024-05-16,2024-07-18,42,912810RU4,1.0,3.3969716136117505,22.50239561943874,0.7556468172484614,0.3333333333333333,-0.03150417043453757,-0.042597452799464364,0.011093282364926793,-0.016635482862636025,-0.005542200497709232,0.9507473081576994,-0.9562895086554086,0.475474423019449,2024,5
190,2024-05-16,2024-07-18,42,912810SD1,1.0,2.8133243551804656,24.251882272416154,0.5037645448323076,0.5,0.16575156802440816,0.31871795654296875,-0.1529663885185606,-0.03715341585871033,-0.1901198043772709,0.7658349432661432,-0.9559547476434141,5.130460030341737,2024,5
191,2024-05-16,2024-07-18,42,912810RN0,-1.0,-5.0,21.251197809719372,0.9993155373032145,0.5041095890410945,-0.029276495110552858,-0.3757555190831763,-0.3464790239726234,-0.14389261695655764,-0.49037164092918106,1.1395695460936088,-1.6299411870227898,-11.255579944911403,2024,5
