Date,2Y,5Y,10Y,30Y,2Y/5Y,2Y/10Y,2Y/30Y,5Y/10Y,5Y/30Y,10Y/30Y,2Y/5Y/10Y,2Y/5Y/30Y,2Y/10Y/30Y,5Y/10Y/30Y
2023-02-22,5.167310327504193,-21.00745629548575,-28.017654013098216,-69.97480669409045,-26.174766622989942,-33.184964340602406,-75.14211702159464,-7.010197717612467,-48.967350398604694,-41.95715268099223,-19.16456890537747,22.79258377561476,8.772188340389818,34.94695496337977
2023-02-23,3.484953235314947,-21.379180802640274,-27.66459955882139,-69.4780447896346,-24.86413403795522,-31.149552794136337,-72.96299802494954,-6.285418756181116,-48.09886398699432,-41.8134452308132,-18.578715281774105,23.2347299490391,10.663892436676868,35.528026474632085
2023-02-24,5.383640513694488,-21.050893806016457,-27.002610885862623,-70.0896211387361,-26.434534319710945,-32.38625139955711,-75.4732616524306,-5.951717079846166,-49.038727332719645,-43.08701025287348,-20.48281723986478,22.604193013008704,10.700758853316373,37.13529317302732
2023-02-27,6.20474431867466,-21.21893402347461,-27.136520048490187,-67.79613657531307,-27.42367834214927,-33.34126436716485,-74.00088089398773,-5.917586025015577,-46.57720255183846,-40.65961652682289,-21.50609231713369,19.153524209689195,7.318352159658033,34.74203050180731
2023-02-28,8.958781218768497,-19.385231114658154,-26.769291796076857,-66.4530860055486,-28.34401233342665,-35.72807301484535,-75.41186722431709,-7.384060681418703,-47.067854890890445,-39.68379420947174,-20.959951652007945,18.723842557463797,3.955721194626392,32.29973352805304
2023-03-01,9.200536364395706,-18.923495075258412,-26.99056058174847,-67.28672823645469,-28.124031439654118,-36.19109694614417,-76.4872646008504,-8.067065506490056,-48.36323316119628,-40.296167654706224,-20.056965933164065,20.23920172154216,4.105070708562053,32.22910214821617
2023-03-02,10.507036339181752,-18.133704115259075,-26.799424300110797,-67.10553829270202,-28.640740454440827,-37.30646063929255,-77.61257463188377,-8.665720184851722,-48.97183417744294,-40.30611399259122,-19.975020269589105,20.33109372300212,2.999653353298669,31.6403938077395
2023-03-03,9.201133966719244,-19.361031059785905,-25.949159337434757,-66.27820135363277,-28.56216502650515,-35.150293304154005,-75.479335320352,-6.588128277648853,-46.917170293846866,-40.32904201619801,-21.9740367488563,18.35500526734171,5.178748712044012,33.74091373854915
2023-03-06,7.40814686755753,-19.69160976232338,-26.447419153794716,-65.96147979040761,-27.09975662988091,-33.855566021352246,-73.36962665796514,-6.755809391471335,-46.26987002808423,-39.514060636612896,-20.34394723840958,19.170113398203313,5.658494615260651,32.75825124514156
2023-03-07,9.116104805189806,-19.490390288080928,-26.16358711320057,-65.59278327964235,-28.606495093270734,-35.27969191839038,-74.70888808483215,-6.673196825119643,-46.102392991561416,-39.42919616644178,-21.93329826815109,17.495897898290686,4.1495042480514,32.75599934132214
2023-03-08,7.210498148391853,-21.041651839577913,-27.257880782414958,-67.83161727479774,-28.252149987969766,-34.46837893080681,-75.04211542318959,-6.216228942837045,-46.78996543521983,-40.57373649238278,-22.035921045132724,18.537815447250054,6.105357561575971,34.35750754954573
2023-03-09,5.800459612681497,-21.1181092088232,-26.816262275472134,-69.24238140191483,-26.918568821504696,-32.616721888153634,-75.04284101459632,-5.698153066648935,-48.12427219309163,-42.42611912644269,-21.220415754855757,21.205703371586935,9.809397238289066,36.72796605979376
2023-03-10,-2.757241216265882,-24.08604932398766,-27.964760327392256,-70.67559046892775,-21.328808107721777,-25.207519111126373,-67.91834925266187,-3.8787110034045966,-46.58954114494009,-42.710830141535496,-17.45009710431718,25.260733037218316,17.503311030409122,38.8321191381309
2023-03-13,-10.538515556546901,-25.23673292719608,-31.969649894807482,-74.78498365876578,-14.698217370649179,-21.43113433826058,-64.24646810221888,-6.732916967611402,-49.5482507315697,-42.8153337639583,-7.96530040303778,34.85003336092052,21.384199425697716,36.0824167963469
2023-03-14,-5.06301855698279,-20.150227808738652,-24.713295271213997,-69.8760158939741,-15.087209251755862,-19.650276714231207,-64.81299733699132,-4.563067462475345,-49.72578808523545,-45.162720622760105,-10.524141789280517,34.638578833479585,25.512443908528894,40.59965316028476
2023-03-15,-0.7916460925141422,-16.41995143673278,-24.203686577667185,-68.91861131031555,-15.628305344218639,-23.412040485153042,-68.12696521780141,-7.783735140934404,-52.498659873582774,-44.71492473264837,-7.844570203284235,36.870354529364135,21.302884247495328,36.93118959171397
2023-03-16,-4.454584734883049,-16.447486620862286,-22.513709387951984,-70.26789763401754,-11.992901885979236,-18.059124653068935,-65.8133128991345,-6.066222767089698,-53.82041101315526,-47.75418824606556,-5.926679118889538,41.82750912717602,29.695063592996625,41.68796547897586
