date,pnl,cost,in_pos,richness,nb32,equity,pnl_32nds,pnl_volbp
2020-02-03,0.0,0.0,0,,-2.0132474002407434,0.0,0.0,0.0
2020-02-04,0.0,0.0,0,9.020022210836916e-16,3.305403607117114,0.0,0.0,0.0
2020-02-05,0.0,0.0,0,-3.682343806832398e-14,-0.2805515388868116,0.0,0.0,0.0
2020-02-06,0.0,0.0,0,7.034569873956803e-17,6.904777063498386,0.0,0.0,0.0
2020-02-07,0.0,0.0,0,1.7022827571383387e-16,1.823581724799169,0.0,0.0,0.0
2020-02-10,0.0,0.0,0,6.4068887687378245e-18,0.7927610059446124,0.0,0.0,0.0
2020-02-11,0.0,0.0,0,1.166198015689529e-18,4.623955868845769,0.0,0.0,0.0
2020-02-12,0.0,0.0,0,2.1638470918092083e-19,5.409006241995485,0.0,0.0,0.0
2020-02-13,0.0,0.0,0,5.228340515484354e-20,7.848433101984483,0.0,0.0,0.0
2020-02-14,0.0,0.0,0,2.2422141031749795e-08,2.9934256742817524,0.0,0.0,0.0
2020-02-18,0.0,0.0,0,9.434840803844665e-23,6.3377457338328895,0.0,0.0,0.0
2020-02-19,0.0,0.0,0,6.570203542810893e-23,8.783691458682824,0.0,0.0,0.0
2020-02-20,0.0,0.0,0,3.020083142187908e-24,7.6056468357305675,0.0,0.0,0.0
2020-02-21,0.0,0.0,0,6.139046989499794e-26,16.480559582916158,0.0,0.0,0.0
2020-02-24,0.0,0.0,0,-0.0373320834359376,-3.0378095085379755,0.0,0.0,0.0
2020-02-25,0.0,0.0,0,0.005790798852407868,10.906348923900623,0.0,0.0,0.0
2020-02-26,0.0,0.0,0,-0.008702679337183359,-8.70827059467365,0.0,0.0,0.0
2020-02-27,0.0,0.0,0,-0.01454163703431361,-4.29209176620634,0.0,0.0,0.0
2020-02-28,0.0,0.0,0,0.005064620944581941,18.359868653887133,0.0,0.0,0.0
2020-03-02,0.0,0.0,0,-0.06937720537858147,-2.5036232601091797,0.0,0.0,0.0
2020-03-03,0.0,0.0,0,-0.021237786618270717,-12.453877963512241,0.0,0.0,0.0
2020-03-04,0.0,0.0,0,-0.008585510210032472,-22.118694419352778,0.0,0.0,0.0
2020-03-05,0.0,0.0,0,0.029798697777588187,10.840357386416144,0.0,0.0,0.0
2020-03-06,0.0,0.0,0,-0.012129432830918975,-34.902837765201184,0.0,0.0,0.0
2020-03-09,0.0,0.0,0,-0.013152986609878941,-36.31532705712925,0.0,0.0,0.0
2020-03-10,0.0,0.0,0,-0.0164335912057594,-30.354519114836876,0.0,0.0,0.0
2020-03-11,0.0,0.0,0,-0.011115682271915131,-46.79320043554617,0.0,0.0,0.0
2020-03-12,0.0,0.0,0,-0.004777606145678611,-94.20318038805635,0.0,0.0,0.0
2020-03-13,0.0,0.0,0,-0.04696953291610571,-13.1523872923608,0.0,0.0,0.0
2020-03-16,0.0,0.0,0,-0.006924709691972221,-33.51414933507658,0.0,0.0,0.0
2020-03-17,0.0,0.0,0,-0.004307755582797968,-83.36267855675442,0.0,0.0,0.0
2020-03-18,0.0,0.0,0,0.008415601428985363,25.739564031816826,0.0,0.0,0.0
2020-03-19,0.0,0.0,0,-5.918641696275696e-258,-75.03830441556238,0.0,0.0,0.0
2020-03-20,0.0,0.0,0,-0.002505321852395775,-35.143740718866866,0.0,0.0,0.0
2020-03-23,0.0,0.0,0,-0.0027157318968570048,-23.609967498904552,0.0,0.0,0.0
2020-03-24,0.0,0.0,0,-0.009986721622462055,-58.17269234937612,0.0,0.0,0.0
2020-03-25,0.0,0.0,0,-0.006699545069802549,-64.91772661219056,0.0,0.0,0.0
