,engine_per_unit,panel_per_unit,diff
2022-08-04,-422.36045564541456,-396.5340169357667,-25.826438709647846
2022-08-05,-422.36045564541456,-396.5340169357667,-25.826438709647846
2022-08-08,-422.36045564541456,-396.5340169357667,-25.826438709647846
2022-08-09,-422.36045564541456,-424.3127669357667,1.9523112903521564
2022-08-10,-453.62045564552426,-455.5727669358765,1.9523112903522133
2022-08-11,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-08-12,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-08-15,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-08-16,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-08-17,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-08-18,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-08-19,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-08-22,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-08-23,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-08-24,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-08-25,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-08-26,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-08-29,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-08-30,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-08-31,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-09-01,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-09-02,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-09-06,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-09-07,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-09-08,-470.98545564542087,-445.159016935773,-25.826438709647846
2022-09-09,-470.98545564542087,-505.7012346777085,34.71577903228763
2022-09-12,-417.518955645507,-452.7276056455368,35.20865000002982
2022-09-13,-432.9454556453847,-479.9830088712204,47.03755322583572
2022-09-14,-391.97495564549683,-439.99825080681705,48.02329516132022
2022-09-15,-478.7874556455145,-528.0429282261892,49.255472580674734
2022-09-16,-410.7089556454817,-458.2393798390598,47.530424193578085
2022-09-19,-427.39195564542325,-476.40099274222706,49.00903709680381
2022-09-20,-398.21545564553065,-446.4851862907216,48.26973064519092
2022-09-21,-316.24945564552473,-365.25849274232814,49.00903709680341
2022-09-22,-505.14845564550865,-554.8967991939252,49.74834354841653
2022-09-23,-608.5343911293005,-598.4798233873945,-10.054567741905998
2022-09-26,-608.5343911293005,-598.4798233873945,-10.054567741905998
2022-09-27,-608.5343911293005,-598.4798233873945,-10.054567741905998
2022-09-28,-608.5343911293005,-643.39704112933,34.862650000029475
