,engine_mtm_per_unit
2022-07-21,-422.36045564541456
2022-07-22,-422.36045564541456
2022-07-25,-422.36045564541456
2022-07-26,-422.36045564541456
2022-07-27,-422.36045564541456
2022-07-28,-422.36045564541456
2022-07-29,-422.36045564541456
2022-08-01,-422.36045564541456
2022-08-02,-422.36045564541456
2022-08-03,-422.36045564541456
2022-08-04,-422.36045564541456
2022-08-05,-422.36045564541456
2022-08-08,-422.36045564541456
2022-08-09,-422.36045564541456
2022-08-10,-453.62045564552426
2022-08-11,-470.98545564542087
2022-08-12,-470.98545564542087
2022-08-15,-470.98545564542087
2022-08-16,-470.98545564542087
2022-08-17,-470.98545564542087
2022-08-18,-470.98545564542087
2022-08-19,-470.98545564542087
2022-08-22,-470.98545564542087
2022-08-23,-470.98545564542087
2022-08-24,-470.98545564542087
2022-08-25,-470.98545564542087
2022-08-26,-470.98545564542087
2022-08-29,-470.98545564542087
2022-08-30,-470.98545564542087
2022-08-31,-470.98545564542087
2022-09-01,-470.98545564542087
2022-09-02,-470.98545564542087
2022-09-06,-470.98545564542087
2022-09-07,-470.98545564542087
2022-09-08,-470.98545564542087
2022-09-09,-470.98545564542087
2022-09-12,-417.518955645507
2022-09-13,-432.9454556453847
2022-09-14,-391.97495564549683
2022-09-15,-478.7874556455145
2022-09-16,-410.7089556454817
2022-09-19,-427.39195564542325
2022-09-20,-398.21545564553065
2022-09-21,-316.24945564552473
2022-09-22,-505.14845564550865
2022-09-23,-608.5343911293005
2022-09-26,-608.5343911293005
2022-09-27,-608.5343911293005
2022-09-28,-608.5343911293005
2022-09-29,-663.3948911294658
2022-09-30,-630.0663911293559
2022-10-03,-577.2918911294631
2022-10-04,-390.4938911293153
2022-10-05,-524.08182661324
2022-10-06,-524.08182661324
2022-10-07,-524.08182661324
2022-10-10,-524.08182661324
2022-10-11,-524.08182661324
2022-10-12,-524.08182661324
2022-10-13,-524.08182661324
2022-10-14,-524.08182661324
2022-10-17,-524.08182661324
2022-10-18,-524.08182661324
2022-10-19,-524.08182661324
2022-10-20,-524.08182661324
2022-10-21,-524.08182661324
2022-10-24,-524.08182661324
2022-10-25,-524.08182661324
2022-10-26,-524.08182661324
2022-10-27,-524.08182661324
2022-10-28,-524.08182661324
2022-10-31,-524.08182661324
2022-11-01,-524.08182661324
2022-11-02,-524.08182661324
2022-11-03,-524.08182661324
2022-11-04,-524.08182661324
2022-11-07,-524.08182661324
2022-11-08,-524.08182661324
2022-11-09,-524.08182661324
2022-11-10,-524.08182661324
2022-11-11,-524.08182661324
2022-11-14,-524.08182661324
2022-11-15,-524.08182661324
2022-11-16,-524.08182661324
2022-11-17,-524.08182661324
2022-11-18,-524.08182661324
2022-11-21,-524.08182661324
2022-11-22,-510.8863266132145
2022-11-23,-524.08182661324
2022-11-25,-519.2228266132445
2022-11-28,-498.3903266132634
2022-11-29,-480.33582661313966
2022-11-30,-483.1138266131371
2022-12-01,-500.12907661312164
2022-12-02,-544.574576613259
2022-12-05,-537.976826613265
2022-12-06,-539.0322782260413
2022-12-07,-539.0322782260413
2022-12-08,-539.0322782260413
2022-12-09,-443.53852822601965
2022-12-12,-477.5565282258425
2022-12-13,-647.7415282258753
2022-12-14,-646.3575282259358
2022-12-15,-605.3845282259731
2022-12-16,-680.0432782259328
2022-12-19,-652.9452782260206
2022-12-20,-697.0460282260082
2022-12-21,-660.5922782259229
2022-12-22,-673.0882782258248
2022-12-23,-643.2222782260294
2022-12-27,-625.8522782259308
2022-12-28,-643.2222782260294
2022-12-29,-634.5510282259467
2022-12-30,-532.4620282259525
2023-01-03,-553.2945282259336
2023-01-04,-553.2945282259336
2023-01-05,-545.647528225826
2023-01-06,-582.468528225994
2023-01-09,-581.0845282258767
2023-01-10,-550.5265282258454
2023-01-11,-550.5265282258454
2023-01-12,-585.9635282258961
2023-01-13,-544.9905282259057
2023-01-17,-523.4635282259529
2023-01-18,-585.2715282258966
2023-01-19,-626.2470282259187
2023-01-20,-615.1375282259563
2023-01-23,-554.0240282259844
2023-01-24,-522.7740282260128
2023-01-25,-521.387528225864
2023-01-26,-522.0820282258358
2023-01-27,-521.3900282258641
2023-01-30,-439.44152822591093
2023-01-31,-417.91452822593055
2023-02-01,-447.78052822593094
2023-02-02,-447.78052822593094
2023-02-03,-428.334528225921
2023-02-06,-398.4710282259482
2023-02-07,-397.77902822600794
2023-02-08,-366.5290282258588
2023-02-09,-346.38852822581794
2023-02-10,-366.5290282258588
2023-02-13,-366.5290282258588
2023-02-14,-346.38852822581794
2023-02-15,-346.38852822581794
2023-02-16,-346.38852822581794
2023-02-17,-336.6655282257991
2023-02-21,-326.94252822580796
2023-02-22,-348.46952822596603
2023-02-23,-326.94252822580796
2023-02-24,-378.333028225998
2023-02-27,-367.91552822594826
2023-02-28,-367.91552822594826
2023-03-01,-378.333028225998
2023-03-02,-432.9508427419326
2023-03-03,-450.3108427419168
2023-03-06,-481.5508427419673
2023-03-07,-488.38584274194926
2023-03-08,-455.71184274198674
2023-03-09,-538.3848427419429
2023-03-10,-832.9528427420149
2023-03-13,-950.6308427418851
2023-03-14,-1152.6228427419928
2023-03-15,-1103.3808427418921
2023-03-16,-901.2088427418665
2023-03-17,-1256.8728427419298
2023-03-20,-1190.1458427418918
2023-03-21,-935.9138427418152
2023-03-22,-977.5688427418756
2023-03-23,-949.8288427419603
2023-03-24,-901.233842741866
2023-03-27,-867.8428427419044
2023-03-28,-812.2978427418763
2023-03-29,-781.0478427419047
2023-03-30,-735.8978427418471
2023-03-31,-794.9228427419315
2023-04-03,-838.6588427419628
2023-04-04,-932.4313427419166
2023-04-05,-970.633842741981
2023-04-06,-817.8438427419816
2023-04-07,-720.583842741991
2023-04-10,-751.8263427418641
2023-04-11,-790.0213427418882
2023-04-12,-803.9113427418757
2023-04-13,-769.191342741947
2023-04-14,-703.1988427419082
2023-04-17,-717.0788427419744
2023-04-18,-762.2188427419334
2023-04-19,-730.9638427419225
2023-04-20,-696.2438427419934
2023-04-21,-678.8788427419697
2023-04-24,-675.4038427419138
2023-04-25,-706.6788427420433
2023-04-26,-727.5163427418465
2023-04-27,-651.1038427420345
2023-04-28,-633.7438427418726
2023-05-01,-637.2063427419089
2023-05-02,-776.1163427418813
2023-05-03,-671.9313427419563
2023-05-04,-744.8613427420282
2023-05-05,-798.5643266129446
2023-05-08,-798.5643266129446
2023-05-09,-798.5643266129446
2023-05-10,-798.5643266129446
2023-05-11,-798.5643266129446
2023-05-12,-798.5643266129446
2023-05-15,-798.5643266129446
2023-05-16,-798.5643266129446
2023-05-17,-798.5643266129446
2023-05-18,-798.5643266129446
2023-05-19,-798.5643266129446
2023-05-22,-798.5643266129446
2023-05-23,-798.5643266129446
2023-05-24,-798.5643266129446
2023-05-25,-798.5643266129446
2023-05-26,-798.5643266129446
2023-05-30,-798.5643266129446
2023-05-31,-798.5643266129446
2023-06-01,-798.5643266129446
2023-06-02,-798.5643266129446
2023-06-05,-798.5643266129446
2023-06-06,-798.5643266129446
2023-06-07,-798.5643266129446
2023-06-08,-798.5643266129446
2023-06-09,-707.5773266129919
2023-06-12,-781.8813266129439
2023-06-13,-655.5323266130353
2023-06-14,-591.6583266130914
2023-06-15,-620.1278266129686
2023-06-16,-780.5423266130512
2023-06-20,-780.5423266130512
2023-06-21,-958.6703266131625
2023-06-22,-958.6703266131625
2023-06-23,-958.6703266131625
2023-06-26,-958.6703266131625
