entry_date,sr3_symbol,direction,units,entry_signal_bp,entry_residual_basis_bp,entry_residual_turn_bp,entry_cost,sr3_contracts,zq_contracts,exit_date,exit_signal_bp,exit_reason,exit_cost
2023-12-07,SR3Z23,1,1,-3.013825840416845,-3.0337739973822067,0.01994815696536148,60.48620967741936,5,"{'ZQZ23': -0.3870967741935484, 'ZQF24': -1.0, 'ZQG24': -1.0, 'ZQH24': -0.6129032258064516}",2024-01-04,-0.4531024160876833,signal,41.668749999999996
2024-06-14,SR3M24,1,1,-1.7786937213888792,-1.8294349336385087,0.050741212249629526,60.07175000000001,5,"{'ZQM24': -0.4, 'ZQN24': -1.0, 'ZQQ24': -1.0, 'ZQU24': -0.5666666666666667}",2024-07-05,-0.483677809955142,signal,41.3215
2024-07-16,SR3M24,1,1,-1.7268581788484403,-1.7445837011049183,0.01772552225647814,37.1545,5,"{'ZQN24': -1.0, 'ZQQ24': -1.0, 'ZQU24': -0.5666666666666667}",2024-08-06,0.4293823771840333,signal,37.1545
2024-09-05,SR3U24,1,1,-2.835049968522933,-2.899180037172284,0.06413006864935082,60.05494758064517,5,"{'ZQU24': -0.43333333333333335, 'ZQV24': -1.0, 'ZQX24': -1.0, 'ZQZ24': -0.5483870967741935}",2024-11-04,-0.40165987318310015,signal,41.47832258064516
2024-12-31,SR3Z24,-1,1,14.629250880218907,14.536526228122531,0.09272465209637641,44.86120967741935,-5,"{'ZQZ24': 0.45161290322580644, 'ZQF25': 1.0, 'ZQG25': 1.0, 'ZQH25': 0.5806451612903226}",2025-01-08,-0.12316492917048162,signal,42.00479838709677
2025-01-09,SR3Z24,-1,1,1.898880208134883,1.8458933992399054,0.052986808894977686,37.30012096774194,-5,"{'ZQF25': 1.0, 'ZQG25': 1.0, 'ZQH25': 0.5806451612903226}",2025-02-28,-0.009240902039279974,signal,37.30012096774193
2025-03-17,SR3H25,1,1,-1.827040791392075,-1.9539053336459848,0.12686454225390983,60.17256451612904,5,"{'ZQH25': -0.41935483870967744, 'ZQJ25': -1.0, 'ZQK25': -1.0, 'ZQM25': -0.5666666666666667}",2025-03-31,-0.24323552667345472,signal,44.54756451612903
2025-04-07,SR3H25,1,1,-1.556352592630402,-1.5894004505103505,0.03304785787994855,37.1545,5,"{'ZQJ25': -1.0, 'ZQK25': -1.0, 'ZQM25': -0.5666666666666667}",2025-04-21,0.3247682887856721,signal,37.1545
2025-06-05,SR3M25,1,1,-1.7203542732237065,-1.8980044307151038,0.17765015749139726,59.89812500000001,5,"{'ZQM25': -0.43333333333333335, 'ZQN25': -1.0, 'ZQQ25': -1.0, 'ZQU25': -0.5333333333333333}",2025-08-29,-0.26175772278537235,signal,41.3215
2025-09-04,SR3U25,1,1,-6.730261096624552,-6.964067878392988,0.23380678176843542,59.8925241935484,5,"{'ZQU25': -0.4666666666666667, 'ZQV25': -1.0, 'ZQX25': -1.0, 'ZQZ25': -0.5161290322580645}",2025-10-21,-0.35362574277474573,signal,41.48952419354839
2025-10-22,SR3U25,1,1,-1.9012543070679757,-2.1084790054270974,0.20722469835912166,36.62802419354839,5,"{'ZQV25': -1.0, 'ZQX25': -1.0, 'ZQZ25': -0.5161290322580645}",2025-10-23,-0.38478591923522926,signal,36.62802419354839
2025-10-28,SR3U25,1,1,-3.527362939956716,-3.751744731649739,0.22438179169302294,36.62802419354839,5,"{'ZQV25': -1.0, 'ZQX25': -1.0, 'ZQZ25': -0.5161290322580645}",2025-10-31,-0.24043102164533725,signal,36.62802419354839
2025-12-09,SR3Z25,-1,1,1.647804927056202,1.2237623075070612,0.4240426195491409,60.31818548387097,-5,"{'ZQZ25': 0.4838709677419355, 'ZQF26': 1.0, 'ZQG26': 1.0, 'ZQH26': 0.5483870967741935}",2025-12-29,0.45924348876796484,signal,44.69318548387097
2026-01-06,SR3Z25,-1,1,4.486870183541976,4.241775969846994,0.2450942136949812,36.964072580645166,-5,"{'ZQF26': 1.0, 'ZQG26': 1.0, 'ZQH26': 0.5483870967741935}",2026-03-02,0.2620191633115459,signal,39.316411290322584
2026-03-05,SR3H26,1,1,-2.3736934175653763,-2.6724386447452835,0.298745227179907,59.99333870967742,5,"{'ZQH26': -0.45161290322580644, 'ZQJ26': -1.0, 'ZQK26': -1.0, 'ZQM26': -0.5333333333333333}",2026-06-04,5.967165142011746,roll,43.94267741935484
2026-06-04,SR3M26,-1,1,5.967165142011746,5.665548266391115,0.301616875620631,44.09825000000001,-5,"{'ZQM26': 0.4666666666666667, 'ZQN26': 1.0}",2026-06-30,-0.44328076888301526,signal,28.47325
