clock,split,scope,bucket,n_obs,n_days,n_clusters,sum_beta_kneg,se_cluster_kneg,t_cluster_kneg,se_nw_kneg,t_nw_kneg,sum_beta_kpos,se_cluster_kpos,t_cluster_kpos,se_nw_kpos,t_nw_kpos,diff_pos_minus_neg,se_cluster_diff,t_cluster_diff,se_nw_diff,t_nw_diff,beta_k0,se_cluster_k0,t_cluster_k0,abs_ratio_pos_over_neg,post_print_share,centroid_absbeta_D2,abs_beta_mass,abs_beta_mass_null
diss,block,bucket,TY_UXY,86340,67,67,0.026503066652153656,0.015095463327037172,1.755697462076872,,,-0.014308913998847773,0.010377341269689738,-1.3788612735172756,,,-0.04081198065100143,0.018775593388203657,-2.1736719477874296,,,-0.002027181181854439,0.0027326004742896353,-0.7418505562476796,0.5398965405267553,0.35060572338325524,-0.2310029175865761,0.13798233342153854,0.13730175179672127
diss,block,bucket,US,86339,67,67,0.027621016201380418,0.015854230201398267,1.7421858930081877,,,-0.022707688540171727,0.011646729263116025,-1.9497051942372015,,,-0.05032870474155215,0.01849640569628588,-2.7209991804871723,,,-0.0029880710698058674,0.0033870733564628857,-0.882198510435069,0.8221163325278692,0.451187620599024,-0.4970277173349582,0.13771262244465213,0.1267591241637419
diss,nonblock,pooled,POOLED,402946,67,67,0.013828470911620126,0.00934598956062221,1.4796154887529633,,,0.001742065211324674,0.008372843091178563,0.20806137083353138,,,-0.012086405700295452,0.01441989327314148,-0.8381758083333123,,,-0.001668416514005065,0.002099328428748078,-0.7947382082564447,0.1259767057730735,0.1118821598414688,0.6508972494742288,0.07359877491212195,0.06438670646819174
diss,nonblock,bucket,SFR_FF,57600,44,44,0.011428719741258437,0.010133796131405122,1.1277826781851557,,,-0.0033501658457733216,0.007918263127363562,-0.42309352340110745,,,-0.014778885587031755,0.014632273185523648,-1.0100197966268945,,,-0.002136542764880541,0.0021760987567995826,-0.981822519867059,0.293135707377529,0.22668595856192567,0.2485551832694383,0.05242437481469113,0.06177276573726356
diss,nonblock,bucket,TU,86331,67,67,0.023055911679824924,0.018079121798220528,1.2752782982021973,,,-0.001669281483399912,0.022117435876294278,-0.07547355365858965,,,-0.02472519316322484,0.033818082120184986,-0.7311234586087637,,,-0.001763365577833176,0.003993284969534973,-0.4415827047871627,0.07240145202588613,0.06751338492605703,3.3179534198336125,0.16038244594441753,0.15628038752542753
diss,nonblock,bucket,FV,86336,67,67,0.019803498853920076,0.01423473842892437,1.3912091853883473,,,-0.025217283159532408,0.017403149720001898,-1.4490068502111155,,,-0.045020782013452484,0.025219658320467037,-1.7851463902235276,,,0.0010250145116964737,0.0025018003314904147,0.4097107586063172,1.2733751417134391,0.5601253916912712,1.8095522024644135,0.18083672865874043,0.1652403221162163
diss,nonblock,bucket,TY_UXY,86340,67,67,0.005461233634836836,0.016478794184320945,0.33140978482715855,,,0.015556613258837388,0.018013462493157297,0.8636103838863193,,,0.01009537962400055,0.025185262445290426,0.4008447259952361,,,-0.003862803308819008,0.003965282210770663,-0.9741559625508375,2.8485529642245693,0.7401620792812744,-0.6555082783129726,0.1844530161322845,0.15529631480338757
diss,nonblock,bucket,US,86339,67,67,0.008036422303288313,0.015996830969320704,0.5023758967448523,,,0.027310149355323027,0.026982240524370597,1.0121527650995572,,,0.019273727052034714,0.02935164270687459,0.6566490075024156,,,-0.001658129445492314,0.005817379869447919,-0.28503028557591403,3.3982969441698407,0.7726392709056288,0.9807216814314886,0.215239953669439,0.19032821694729415
diss,D2C,pooled,POOLED,402946,67,67,0.02047710428489819,0.007415238145546902,2.761489770520098,,,-0.007620216239936353,0.011046229136790106,-0.6898477431141439,,,-0.02809732052483454,0.01553119206183341,-1.8090897603334213,,,-0.0016020993962056638,0.0018436159450912605,-0.8689984486581117,0.3721334879149022,0.27120793362488166,-0.8297346981721092,0.06820085409709296,0.06195046418935142
diss,D2C,bucket,SFR_FF,57600,44,44,0.0046099169832453536,0.006242643590903846,0.7384558987097168,,,-0.007683127516273359,0.00990172150543939,-0.7759385589720662,,,-0.01229304449951871,0.010232644442772363,-1.2013555800037274,,,-0.0007466665655454296,0.0021997010531054047,-0.33944001822035363,1.6666520339080995,0.6249979422570351,-0.22206592785215076,0.052962524688209923,0.06281037243968003
